PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Leander Nzume;Baskets Juniors Oldenburg;A;Forward;2006;7;46.5;104.2;99.4;4.8;-3.4;-0.5;-4.0;-0.3;0.1;0.1;0.1;0.11;18.7
Jayson Roth;Sartorius Juniors;A;Big;2005;3;39.8;86.0;102.5;-16.5;-4.2;-0.1;-4.3;-0.5;-0.1;0.0;0.0;-0.02;18.7
Tim Nocke;Baskets Juniors Oldenburg;A;Forward;2005;8;208.8;92.7;97.7;-5.1;-0.7;-1.1;-1.8;0.1;0.0;0.3;0.4;0.07;18.7
Rephael Edward;Eintracht Frankfurt;A;Big;2007;2;11.4;107.8;123.8;-15.9;-4.6;-0.2;-4.9;-0.3;0.0;0.0;0.0;0.00;18.6
Marijan Krstonic;Sartorius Juniors;A;Forward;2005;3;55.1;108.1;107.2;0.9;-3.1;-0.4;-3.5;-0.3;0.1;0.0;0.1;0.10;18.5
Matteo Petters;FC Bayern München;A;Forward;2006;5;79.3;129.3;100.4;28.9;-0.4;0.3;-0.1;1.7;0.3;0.1;0.3;0.17;18.4
Travis Davis;Porsche BBA Ludwigsburg;A;Point;2006;3;86.9;81.2;85.2;-4.0;-2.0;-1.5;-3.6;-0.8;-0.1;0.2;0.1;0.05;18.3
Moek Icke;Porsche BBA Ludwigsburg;A;Big;2005;5;102.5;102.8;88.1;14.7;-2.0;-0.2;-2.1;0.2;0.2;0.2;0.4;0.17;18.1
Noah Koch;Young Rasta Dragons;A;Wing;2007;8;159.6;96.8;89.8;7.0;0.3;-0.5;-0.2;1.6;0.2;0.4;0.6;0.14;18.0
Noah Slingerland;Baskets Juniors Oldenburg;A;Wing;2005;8;185.1;97.3;95.4;1.9;-1.4;-0.1;-1.5;0.5;0.2;0.4;0.5;0.11;17.7
Julis Baumer;Porsche BBA Ludwigsburg;A;Combo;2007;5;148.2;101.6;92.2;9.4;1.6;0.6;2.2;3.2;0.3;0.2;0.5;0.15;17.6
Joscha Zentgraf;Eintracht Frankfurt;A;Forward;2005;2;40.6;122.9;126.7;-3.8;-3.9;0.2;-3.7;-0.3;0.1;-0.1;0.0;0.04;17.6
Joshua William Greene;FC Bayern München;A;Point;2006;1;18.7;109.7;92.6;17.1;-3.7;0.0;-3.7;0.1;0.1;0.0;0.1;0.19;17.4
Emil Bode;Sartorius Juniors;A;Wing;2006;3;61.5;117.5;105.9;11.5;-2.5;0.4;-2.1;0.4;0.2;0.0;0.2;0.13;17.3
Frederik Selzer;Bayer Giants Leverkusen;A;Big;2006;1;4.5;76.7;58.3;18.4;-4.9;0.0;-4.9;-0.2;0.0;0.0;0.0;0.22;17.3
Miran Evin;Baskets Juniors Oldenburg;A;Wing;2006;7;197.0;98.1;97.3;0.8;0.2;0.8;1.0;2.6;0.2;0.4;0.5;0.11;17.1
Jonas Pohle;Bayer Giants Leverkusen;A;Wing;2007;6;84.1;107.4;95.1;12.3;-0.8;-0.7;-1.6;0.8;0.2;0.1;0.3;0.15;16.9
Yannis Steger;Bayer Giants Leverkusen;A;Big;2005;6;84.9;86.3;89.2;-2.9;-4.9;-0.4;-5.3;-1.7;0.0;0.2;0.2;0.08;16.6
Henrik Besch;Berlin Braves Baskets;A;Forward;2005;3;44.3;105.0;108.2;-3.2;-2.9;-0.6;-3.5;-0.1;0.1;0.0;0.0;0.04;16.5
Moritz Grüß;Young Rasta Dragons;A;Point;2008;5;71.9;100.1;86.2;13.9;-2.7;0.0;-2.7;0.1;0.1;0.2;0.3;0.19;16.3
Lennard Glowka;Niners Chemnitz Academy;A;Point;2006;2;57.0;88.1;126.1;-38.0;-4.0;-0.1;-4.0;-0.8;0.0;-0.2;-0.2;-0.15;16.2
Tobias Drochner;Tornados Franken;A;Forward;2005;3;83.7;108.1;95.7;12.4;-1.1;0.7;-0.5;1.2;0.2;0.1;0.2;0.10;16.1
Theo Roesinger;FC Bayern München;A;Wing;2008;1;13.1;149.8;95.1;54.7;-4.0;-0.1;-4.1;0.0;0.1;0.0;0.1;0.26;15.9
Edin Redzepovic;Sartorius Juniors;A;Wing;2007;3;86.4;90.0;102.8;-12.8;-1.7;0.7;-1.0;0.9;0.0;0.1;0.0;0.02;15.9
Paul Luis Schwabe;Young Rasta Dragons;A;Forward;2005;1;8.5;194.9;109.1;85.8;-4.0;-0.2;-4.2;0.1;0.0;0.0;0.0;0.12;15.8
Maxim Klanten;Berlin Braves Baskets;A;Forward;2006;3;44.3;95.0;111.8;-16.8;-4.0;-0.9;-4.9;-0.9;0.0;0.0;0.0;0.00;15.6
David Koch;Bayer Giants Leverkusen;A;Wing;2005;6;161.3;92.8;94.2;-1.4;1.5;-1.0;0.5;2.0;0.1;0.2;0.4;0.09;15.4
Max Emil Weber;Baskets Paderborn;A;Forward;2006;3;39.4;111.9;92.2;19.7;-3.3;-0.6;-3.9;-0.3;0.1;0.0;0.1;0.13;15.1
Clemens Sokolov;Tornados Franken;A;Forward;2007;3;63.8;90.2;99.4;-9.2;-4.0;-0.6;-4.5;-1.1;0.1;0.0;0.1;0.04;14.7
Luca Kellig;Niners Chemnitz Academy;A;Wing;2006;2;56.3;71.1;119.9;-48.9;-6.3;-0.6;-6.9;-2.4;-0.3;-0.1;-0.5;-0.33;14.7
Ivan Crnjac;Eintracht Frankfurt;A;Forward;2007;2;68.4;95.1;128.0;-32.9;-2.9;-0.4;-3.3;-0.5;0.0;-0.1;-0.2;-0.10;14.7
Martin Geuther;Medipolis SC Jena;A;Point;2005;3;60.7;87.9;102.0;-14.1;-3.6;1.2;-2.4;0.3;-0.1;0.1;0.0;0.01;14.7
Giuliano Aufiero;FC Bayern München;A;Wing;2007;3;33.3;101.8;95.2;6.6;-3.2;0.6;-2.6;0.5;0.0;0.0;0.1;0.11;14.1
Yari Monninkhoff;Alba Berlin;A;Forward;2007;2;6.2;148.9;104.7;44.2;-4.3;-0.1;-4.4;0.0;0.0;0.0;0.0;0.17;14.0
Jannis Ridder;Baskets Paderborn;A;Forward;2005;3;91.2;66.9;80.6;-13.7;-2.6;0.8;-1.8;0.3;-0.2;0.3;0.0;0.01;13.5
Tidiane Ly;Berlin Braves Baskets;A;Big;2006;1;1.6;0.0;63.7;-63.7;-4.6;0.0;-4.6;0.0;0.0;0.0;0.0;0.23;12.9
Jeremy Julian Kolev;KICKZ IBAM;A;Wing;2005;4;113.3;86.6;107.2;-20.6;-2.6;1.2;-1.5;0.5;-0.1;0.0;-0.1;-0.02;12.6
Nicola Schultze;Alba Berlin;A;Wing;2006;6;100.6;76.2;86.7;-10.5;-1.7;0.6;-1.1;1.0;-0.1;0.2;0.1;0.04;12.4
