PLAYER;TEAM;DIV;POS;ROLE;BORN;GP;MP;EFG%;TOV%;ORB%;FT-RATE;EF;EF/Gm;PER;WS;WS/40
Riccardo Cunsolo;ART Giants Düsseldorf;B;Big;Receiver;2006;7;141.2;32.3;21.4;8.8;32.3;41;5.9;10.1;-0.3;-0.09
Noah Palumbo;Bayer Giants Leverkusen;A;Point;Neutral;2006;9;116.3;35.3;25.5;4.5;17.6;19;2.1;10.0;-0.1;-0.04
Daron Khoranian;ART Giants Düsseldorf;B;Combo;Creator;2006;9;267.4;29.7;22.2;5.0;27.8;51;5.7;10.0;-0.9;-0.13
Berk Haktanir;TS Jahn München;B;Point;Receiver;2005;2;14.4;25.0;14.3;0.0;0.0;1;0.5;9.9;0.0;-0.04
Jan Drabek;BBA Hagen;B;Point;Creator;2005;5;84.9;36.8;35.7;4.5;26.3;13;2.6;9.9;-0.3;-0.13
Neo Krizanovic;Bamberg freakcity academy;A;Combo;Neutral;2006;9;255.9;39.7;24.8;3.0;24.1;41;4.6;9.9;-0.8;-0.12
Jonathan Elzie;Hamburg Towers;A;Forward;Receiver;2005;10;121.6;39.3;21.9;5.3;16.7;25;2.5;9.9;0.0;-0.01
Jonas Pohle;Bayer Giants Leverkusen;A;Wing;Neutral;2007;12;171.1;50.0;30.2;2.5;17.0;33;2.8;9.8;0.1;0.02
Hannes Kreft;HAKRO Merlins Crailsheim;B;Combo;Creator;2006;10;305.1;44.1;25.4;3.7;15.3;60;6.0;9.8;-0.4;-0.06
Angelos Avramidis;Hamburg Towers;A;Combo;Neutral;2006;8;119.1;32.4;20.0;4.7;18.9;20;2.5;9.8;0.0;0.01
Noah Bakker;Eisbären Bremerhaven;A;Combo;Receiver;2006;3;51.7;50.0;21.4;0.0;0.0;8;2.7;9.7;-0.1;-0.11
Jussi Knorr;Rostock Seawolves;B;Combo;Neutral;2007;10;159.8;45.5;35.7;3.3;33.3;33;3.3;9.7;-0.3;-0.07
