PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Paul Viefhues;UBC Münster;A;Combo;2005;2;39.1;17.3;8.6;10.7;1.3;3.2;0.3;8.3;5.0;0.0;32.4;57.6
Filip Vozar;Würzburg Baskets Akademie;B;Wing;2007;8;121.7;17.3;2.2;1.8;7.4;20.3;1.0;6.4;0.4;0.0;12.3;49.7
Daniel Obehi Mack;Porsche BBA Ludwigsburg;A;Forward;2005;3;51.6;17.3;5.8;3.7;13.8;50.5;5.0;17.6;1.0;3.1;7.6;39.5
Isaiah Javante Batiste;ROTH Energie BBA GIESSEN 46ers;A;Forward;2006;6;85.3;17.3;2.9;2.4;2.8;7.9;0.5;12.6;2.4;0.0;13.6;52.4
Elias Nold;Baskets Juniors Oldenburg;A;Point;2005;4;49.7;16.9;4.2;5.3;11.7;38.2;4.0;5.2;4.1;0.0;15.6;53.6
Timon Hoffmann;Baskets Paderborn;A;Forward;2006;10;105.5;16.8;1.7;1.1;4.8;13.4;0.8;8.6;1.4;1.6;9.0;51.7
Kurt Donath;Dresden Titans;B;Forward;2005;6;129.8;16.8;2.8;3.0;4.9;13.9;0.6;10.7;0.8;3.6;20.7;32.9
Cem Ünver;BBA Hagen;B;Forward;2005;8;95.1;16.8;2.1;0.2;1.9;4.9;0.2;15.0;3.7;2.4;17.5;45.8
Luca Flemming;Team Bonn/Rhöndorf;B;Wing;2005;7;119.9;16.6;2.4;2.5;4.8;12.8;0.6;8.9;1.6;0.0;12.2;56.7
Danis Salkovic;TG Hanau;B;Wing;2005;9;193.4;16.6;1.8;2.3;4.0;10.7;0.6;6.3;0.8;0.0;22.5;46.4
Max Dick;USC Heidelberg;B;Forward;2005;9;188.5;16.5;1.8;2.2;2.3;5.5;0.3;10.7;1.2;0.5;18.8;39.9
Lukas Mutter;Alba Berlin;A;Point;2007;7;83.7;16.1;2.3;3.0;12.9;42.3;1.0;4.7;3.5;0.0;15.1;66.5
Tyrese Leonce;Würzburg Baskets Akademie;B;Forward;2006;7;85.3;16.0;2.3;2.3;3.3;8.6;0.5;10.3;1.1;1.0;11.1;55.9
Bonel Mpaka;RheinStars Köln;B;Forward;2005;2;32.0;16.0;8.0;4.2;25.4;166.7;0.0;18.4;3.5;9.4;3.1;50.0
Josh Behrendt;Team Bonn/Rhöndorf;B;Forward;2007;7;92.1;16.0;2.3;2.0;2.6;6.8;0.5;12.8;1.1;2.2;19.8;40.5
Noah Schirin-Sokhan;ART Giants Düsseldorf;B;Point;2005;9;227.1;15.9;1.8;0.8;8.1;24.9;1.2;3.9;0.7;0.0;16.0;46.3
Luis Sziede;VfL Kirchheim Knights;B;Forward;2005;12;206.9;15.8;1.3;0.7;4.9;14.4;0.7;9.5;1.5;0.0;11.5;32.3
Alexander Lehmann;Baskets Paderborn;A;Forward;2006;9;81.3;15.8;1.8;1.1;7.6;22.7;0.0;10.4;3.2;0.0;9.2;39.6
Leonard Menne;Bayer Giants Leverkusen;A;Wing;2006;11;115.3;15.6;1.4;1.3;4.3;11.1;1.0;5.2;0.8;0.0;12.3;58.4
Erik Larsen;Sartorius Juniors;B;Combo;2005;10;203.6;15.6;1.6;0.7;8.8;26.4;1.9;3.3;1.2;0.0;16.3;40.6
Gustav Kringel;Rostock Seawolves;B;Wing;2007;6;157.9;15.6;2.6;1.7;6.3;18.0;0.6;9.6;1.9;0.0;13.1;42.2
Alan Topic Volovec;FC Bayern München;A;Forward;2007;8;81.0;15.5;1.9;2.4;1.9;5.0;0.3;9.3;1.2;0.0;20.1;56.5
Jeremie Fotso Sighom;Basketball Löwen Erfurt;B;Forward;2008;5;79.3;15.4;3.1;2.1;9.4;26.1;1.4;12.5;1.2;0.0;12.8;37.1
Ivan Kharchenkov;FC Bayern München;A;Wing;2006;1;32.5;15.4;15.4;19.5;3.7;9.7;0.5;19.2;6.0;0.0;41.3;54.6
Paul Luis Schwabe;Young Rasta Dragons;A;Big;2005;9;75.5;15.3;1.7;0.8;0.0;0.0;0.0;21.8;0.7;0.0;18.5;42.6
Elias Earls;BBA Giants Kornwestheim;B;Wing;2006;4;92.8;15.3;3.8;2.9;3.0;8.1;0.5;7.4;1.7;2.9;23.2;49.8
Neo Krizanovic;Bamberg freakcity academy;A;Combo;2006;9;255.9;15.1;1.7;0.7;5.0;14.0;0.6;5.6;2.2;0.4;23.5;44.2
Eldin Kücken;Sartorius Juniors;B;Forward;2005;9;59.2;15.0;1.7;1.1;2.7;7.1;0.3;17.0;4.2;0.0;18.5;49.1
Maximilian Leinweber;Orange Academy;B;Combo;2006;8;130.7;14.8;1.8;1.4;9.1;28.2;0.8;7.4;2.0;0.0;12.2;40.9
Justus Frische;TS Jahn München;B;Wing;2006;7;131.8;14.8;2.1;1.6;6.4;19.0;1.1;6.7;1.2;1.6;21.6;41.7
Maximilian Peters;Eintracht Frankfurt;B;Forward;2007;9;87.3;14.6;1.6;1.9;3.4;9.1;0.3;11.5;1.7;1.1;15.0;50.5
Karl Haring;Medipolis SC Jena;A;Point;2007;4;32.8;14.5;3.6;3.8;11.6;34.7;3.5;3.4;1.4;0.0;22.6;61.7
Tom Wübben;Baskets Paderborn;A;Forward;2005;3;26.4;14.3;4.8;5.0;6.7;19.2;2.0;7.1;3.8;0.0;17.4;88.9
Jan Dübener;Bayer Giants Leverkusen;A;Point;2007;2;24.8;14.3;7.1;9.4;15.6;49.2;3.0;17.1;1.8;0.0;16.4;55.6
Noah Wendland;Würzburg Baskets Akademie;B;Wing;2007;3;66.2;14.1;4.7;4.3;8.3;22.6;0.8;8.9;0.7;3.5;25.1;52.7
Sulaiman Al Horda;Team Bonn/Rhöndorf;B;Forward;2005;4;59.6;14.0;3.5;5.2;2.6;7.0;0.3;7.5;0.0;1.6;10.0;95.5
Julijo Kendes;Team Urspring;A;Combo;2006;13;177.8;14.0;1.1;0.6;3.8;10.9;0.9;4.4;1.8;0.0;17.5;43.4
Saliou Diouf;Phoenix Hagen;B;Forward;2006;9;144.9;13.9;1.5;0.1;4.3;11.9;0.3;11.2;2.1;5.1;15.1;28.0
Jakob Käufler;Orange Academy;B;Wing;2007;6;108.7;13.9;2.3;2.7;3.5;9.7;0.4;8.9;3.9;0.0;16.3;42.5
David Böning;Team Bonn/Rhöndorf;B;Forward;2007;3;33.6;13.6;4.5;5.2;5.9;15.6;0.7;13.8;4.2;2.8;14.7;59.8
Niko Jerkic;Orange Academy;B;Wing;2007;2;44.9;13.5;6.8;11.5;2.0;5.4;0.4;7.8;1.1;0.0;34.0;59.2
Epke Kruthaup;Young Rasta Dragons;A;Point;2008;10;218.3;13.4;1.3;1.3;6.6;19.8;0.9;3.7;2.4;0.0;20.8;42.4
Max Adamczyk;ART Giants Düsseldorf;B;Combo;2006;6;67.3;13.3;2.2;3.4;6.1;18.7;0.8;7.0;1.6;0.0;20.7;59.2
Lennart Tröppner;Team Urspring;A;Forward;2007;7;42.9;13.3;1.9;1.6;13.9;53.6;3.0;13.3;1.3;2.9;10.2;37.5
Joshua Sievers;UBC Münster;A;Wing;2005;12;242.8;13.3;1.1;0.0;5.5;15.1;0.9;8.7;2.0;0.4;17.7;27.7
#8Bonn;Team Bonn/Rhöndorf;B;Forward;1900;1;23.6;13.3;13.3;16.4;0.0;0.0;0.0;14.7;8.2;7.9;24.9;61.5
Eduard Rantz;FC Bayern München;A;Forward;2007;9;96.9;13.1;1.5;0.4;2.9;7.5;0.4;11.0;1.0;1.9;11.3;53.9
Christopher Wersien;Eisbären Bremerhaven;A;Combo;2005;10;123.4;13.1;1.3;0.9;6.6;17.6;0.8;5.3;3.4;0.0;16.5;49.2
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;A;Forward;2006;9;181.7;13.0;1.4;0.6;3.2;8.5;0.4;8.5;2.7;1.0;13.8;34.4
Eren Simbil;Alba Berlin;A;Combo;2005;3;56.3;12.9;4.3;6.0;4.8;12.1;0.4;6.1;4.0;0.0;22.6;60.9
Leander Nzume;Baskets Juniors Oldenburg;A;Forward;2006;8;66.4;12.8;1.6;1.8;1.7;4.3;0.2;14.2;4.5;1.7;14.4;38.2
Medic Lovro;BBA Giants Kornwestheim;B;Big;2005;4;35.8;12.8;3.2;2.8;0.0;0.0;0.0;20.2;1.5;0.0;9.2;80.4
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;A;Forward;2007;9;72.6;12.6;1.4;0.6;3.4;9.2;0.4;11.8;4.9;1.2;12.5;34.8
Dewal Eno Tabot;Metropol Baskets Ruhr;B;Combo;2005;4;44.1;12.6;3.2;2.6;4.9;12.7;0.7;7.5;5.4;0.0;13.0;67.8
Leeroy Jaiteh;Metropol Baskets Ruhr;B;Big;2006;4;34.3;12.5;3.1;2.9;0.0;0.0;0.0;17.5;1.4;5.1;20.4;69.7
Joshua William Greene;FC Bayern München;A;Combo;2006;8;96.7;12.5;1.6;1.9;3.1;8.2;0.3;3.6;3.1;0.0;20.8;62.9
Sebastian Ochudlo;Metropol Baskets Ruhr;B;Combo;2006;5;98.1;12.4;2.5;2.7;6.3;16.6;0.7;5.4;1.4;1.9;19.5;49.4
Oliver Gradel;SG Junior Löwen Braunschweig;B;Combo;2006;8;236.9;12.3;1.5;0.8;7.4;22.0;0.8;5.9;1.5;0.8;12.6;36.3
Linus Jürgens;Baskets Paderborn;A;Combo;2006;7;57.0;12.1;1.7;1.7;3.2;8.8;1.0;3.3;3.6;0.0;17.9;54.5
Stergios Augusto;ART Giants Düsseldorf;B;Big;2005;4;76.2;12.1;3.0;2.5;3.2;8.4;0.4;14.8;1.3;2.4;13.2;35.7
Timo Wachsmuth;Bamberg freakcity academy;A;Forward;2005;8;70.5;12.0;1.5;1.5;0.0;0.0;0.0;12.8;0.0;0.0;9.6;48.5
Till Galler;Team Urspring;A;Combo;2007;8;54.2;12.0;1.5;1.4;10.0;33.4;2.5;9.9;1.0;0.0;11.1;50.8
Cheikh Oumar Doucoure;Hamburg Towers;A;Forward;2006;12;178.6;12.0;1.0;-0.6;2.4;6.4;0.3;8.7;3.5;2.3;18.4;40.9
Eric-Stephàne Nkouè;HAKRO Merlins Crailsheim;B;Big;2007;2;41.5;11.8;5.9;9.2;4.5;12.7;0.6;21.2;2.5;2.8;30.6;37.3
Marko Petric;Young Rasta Dragons;A;Wing;2008;8;161.4;11.5;1.4;1.4;4.5;12.4;0.5;4.8;1.6;0.6;20.7;47.9
Nikolai Kaiser;RheinStars Köln;B;Forward;2007;5;50.5;11.5;2.3;1.8;5.4;16.2;0.6;9.6;1.1;1.9;15.5;59.5
Moritz Ahrens;Dresden Titans;B;Forward;2005;7;54.5;11.5;1.6;1.8;3.8;10.3;0.3;15.2;2.8;0.0;14.8;53.8
Teo Milicic;Orange Academy;B;Point;2008;1;21.5;11.4;11.4;9.1;16.6;57.0;4.0;2.3;8.8;0.0;24.6;44.1
Alen Blakaj;Young Rasta Dragons;A;Forward;2007;6;75.0;11.4;1.9;1.4;4.9;13.4;2.5;9.3;1.3;5.1;19.9;34.2
Myles Howell;TG Hanau;B;Forward;2005;4;42.0;11.3;2.8;2.1;4.2;11.6;0.3;18.2;3.6;2.1;17.7;67.3
Harun Fakhro;Berlin Braves Baskets;B;Wing;2007;9;76.0;11.3;1.3;1.5;0.8;2.0;0.1;9.3;3.2;1.4;27.5;44.5
Dario Pasternakowsky;Dresden Titans;B;Combo;2006;8;122.4;11.3;1.4;2.1;1.4;3.7;0.3;3.7;0.4;0.0;19.1;50.2
Ole Sebastiani;Eisbären Bremerhaven;A;Wing;2006;6;89.3;11.1;1.9;1.8;7.6;21.9;0.6;3.9;2.7;0.9;8.6;62.5
Finn Drescher;Phoenix Hagen;B;Combo;2007;8;148.7;11.1;1.4;1.6;3.3;8.9;0.5;5.2;1.0;0.5;26.5;44.0
Jan Drabek;BBA Hagen;B;Point;2005;5;84.9;11.0;2.2;2.3;9.4;28.2;0.8;4.6;3.5;0.0;17.4;41.3
Teis Hümmels;Sartorius Juniors;B;Forward;2005;11;86.3;10.9;1.0;0.1;6.0;16.5;1.0;12.4;0.6;0.0;13.4;44.5
Samuel Moser;HAKRO Merlins Crailsheim;B;Combo;2007;5;88.0;10.3;2.1;2.2;5.3;13.9;0.7;3.2;3.8;0.0;6.9;55.6
Alejandro Ruano Garayoa;ART Giants Düsseldorf;B;Wing;2007;5;95.8;10.1;2.0;-0.3;2.9;7.4;0.4;8.6;2.6;0.0;17.3;45.5
Jonas Pohle;Bayer Giants Leverkusen;A;Wing;2007;12;171.1;10.1;0.8;1.0;1.9;4.8;0.2;5.7;2.3;0.6;19.6;54.0
Gavin Ahamefula Okalla;Rostock Seawolves;B;Forward;2005;4;37.9;10.0;2.5;1.1;6.3;17.8;0.0;14.3;1.3;0.0;12.6;43.3
Mateja Pivnicki;Team Urspring;A;Forward;2007;8;54.2;9.9;1.2;1.0;3.3;9.2;0.5;13.2;1.0;2.2;16.7;52.9
Rémi Völkers;Team Bonn/Rhöndorf;B;Point;2008;1;12.8;9.8;9.8;11.5;16.1;51.3;2.0;3.6;17.7;0.0;19.3;70.0
Ibrahim Recani;BBA Hagen;B;Forward;2007;4;78.1;9.8;2.4;1.9;1.3;3.3;0.2;12.9;0.0;0.0;16.0;35.7
Aleksandar Zecevic;Baskets Juniors Oldenburg;A;Forward;2006;3;32.5;9.8;3.3;3.4;6.9;20.5;0.6;18.3;0.0;3.4;19.1;61.1
Nik Fassnacht;HAKRO Merlins Crailsheim;B;Point;2006;3;84.9;9.5;3.2;4.0;8.1;23.9;0.6;7.0;2.9;1.4;21.6;43.9
Julian Kirchhoff;Baskets Paderborn;A;Combo;2005;7;62.9;9.5;1.4;1.5;5.9;17.7;1.3;4.7;1.7;0.0;15.6;49.5
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;A;Forward;2008;1;22.2;9.4;9.4;12.9;3.6;10.6;0.0;9.8;5.0;4.5;19.8;69.8
Paul Manuel Raabe;Alba Berlin;A;Point;2006;5;66.1;9.3;1.9;1.0;8.9;26.5;0.8;6.7;6.7;0.0;22.1;45.7
Kenny Wefing;Team Südhessen;B;Point;2006;10;214.9;9.3;0.9;-0.4;8.0;22.4;1.2;3.7;2.2;0.0;22.0;36.0
Angelos Avramidis;Hamburg Towers;A;Combo;2006;8;119.1;9.1;1.1;1.3;5.4;15.4;0.8;5.3;2.6;0.0;18.0;38.9
Djibril Jeremias Claus;Sartorius Juniors;B;Forward;2006;2;15.0;9.0;4.5;5.9;0.0;0.0;0.0;11.1;0.0;0.0;26.5;93.8
Bela Kabalimu;RheinStars Köln;B;Forward;2005;3;24.8;9.0;3.0;1.8;18.4;84.0;0.0;16.8;0.0;8.5;9.3;10.4
Gunnar Wanninger;KICKZ IBAM;A;Forward;2006;6;39.5;8.8;1.5;0.8;2.0;5.5;0.5;10.1;2.7;0.0;20.1;61.7
Tidiane Ly;Berlin Braves Baskets;B;Point;2006;7;65.2;8.5;1.2;1.3;8.7;25.5;0.7;2.5;5.3;0.0;9.4;58.1
Eren Yildiz;TG Hanau;B;Point;2006;3;85.5;8.5;2.8;3.7;6.2;18.3;0.6;3.9;1.8;1.1;26.7;50.3
Fabrice Heberer;Eintracht Frankfurt;B;Wing;2006;7;50.8;8.5;1.2;1.3;4.7;12.7;0.8;10.5;1.0;0.0;18.7;50.0
Aksel Günday;RheinStars Köln;B;Wing;2005;4;40.3;8.5;2.1;2.4;4.8;14.9;1.0;7.2;1.4;0.0;14.8;63.6
Paul Schmidt;Tornados Franken;B;Forward;2006;12;121.9;8.3;0.7;-0.4;5.2;14.0;0.8;10.3;2.4;0.7;13.7;30.1
Dominik Dehmer;Rostock Seawolves;B;Combo;2007;4;66.3;8.3;2.1;0.8;10.1;31.3;1.0;8.7;3.0;0.0;11.7;33.9
Cornelius Meinel;Medipolis SC Jena;A;Combo;2006;8;90.4;8.0;1.0;0.5;8.9;27.1;0.6;8.5;2.2;1.2;12.9;51.5
Jonathan Elzie;Hamburg Towers;A;Forward;2005;10;121.6;8.0;0.8;0.2;1.3;3.3;0.2;8.9;2.1;2.5;20.7;43.5
Kayaan Yeboah;Orange Academy;B;Wing;2008;5;84.0;7.9;1.6;0.9;3.3;9.1;0.6;5.7;2.4;4.0;22.2;36.3
Noah Palumbo;Bayer Giants Leverkusen;A;Point;2006;9;116.3;7.8;0.9;1.0;5.0;13.0;0.5;5.6;2.8;0.9;25.3;40.9
Meverick Falkenberg;Basketball Löwen Erfurt;B;Forward;2007;7;65.5;7.8;1.1;0.8;5.1;13.0;0.3;10.2;0.7;0.0;9.0;34.1
Leopold Schmidt;Medipolis SC Jena;A;Wing;2007;4;46.1;7.6;1.9;1.3;8.8;25.7;1.0;10.0;2.1;0.0;16.2;49.2
Ben Groß;TG Hanau;B;Combo;2006;4;87.6;7.6;1.9;2.1;6.1;17.6;1.8;1.3;0.6;2.0;19.7;40.9
Franz Schallenberg;Team Bonn/Rhöndorf;B;Forward;2006;5;70.4;7.5;1.5;0.7;5.8;16.2;1.5;6.9;1.4;2.5;10.3;32.1
Ben Denkena;Baskets Juniors Oldenburg;A;Combo;2005;5;81.8;7.5;1.5;1.9;1.5;3.8;0.3;3.7;2.5;0.0;13.3;53.1
Paul Schmorleiz;Alba Berlin;A;Wing;2006;11;117.3;7.4;0.7;0.6;1.9;4.5;0.3;5.2;0.8;0.8;14.9;50.0
Lukas Vogl;TS Jahn München;B;Combo;2007;7;89.5;7.3;1.0;0.2;6.4;18.9;1.0;4.6;0.6;0.0;16.8;41.7
Panagiotis Mousionis;Phoenix Hagen;B;Wing;2007;7;114.3;7.3;1.0;-0.6;7.3;21.7;1.5;7.5;1.8;0.0;15.3;32.0
Felix Kiehlneker;Orange Academy;B;Forward;2008;2;20.7;7.3;3.6;5.3;0.0;0.0;0.0;11.0;2.6;0.0;17.7;57.1
Kolja Meier;SG Junior Löwen Braunschweig;B;Forward;2005;10;84.1;7.0;0.7;-0.1;4.5;12.3;0.5;10.4;0.6;0.0;7.9;38.8
Jonas Mendl;Bamberg freakcity academy;A;Wing;2008;3;45.0;7.0;2.3;2.2;5.2;15.0;0.7;8.6;1.1;0.0;12.4;51.0
Julian Günther;Bamberg freakcity academy;A;Point;2008;3;29.6;7.0;2.3;1.5;18.1;74.5;2.3;5.6;3.5;0.0;11.8;50.0
Jakub Ševčík;HAKRO Merlins Crailsheim;B;Combo;2007;5;139.9;6.8;1.4;3.9;2.5;6.6;0.3;1.7;3.6;0.0;33.4;51.4
Gregor Gewinner;Baskets Juniors Oldenburg;A;Point;2007;7;22.8;6.8;1.0;1.0;9.5;29.0;2.0;16.8;2.2;0.0;23.5;27.3
Lukas Klein;Bayer Giants Leverkusen;A;Forward;2008;2;12.4;6.5;3.3;4.7;5.7;16.1;1.0;25.7;0.0;0.0;20.2;50.0
Yari Monninkhoff;Alba Berlin;A;Wing;2007;2;20.5;6.5;3.3;6.6;6.2;16.1;1.0;5.0;2.3;0.0;12.3;80.0
#7Bonn;Team Bonn/Rhöndorf;B;Combo;1900;1;13.5;6.3;6.3;5.5;16.0;54.1;1.5;0.0;14.1;0.0;15.1;89.3
Sebastian Hubrich;TS Jahn München;B;Combo;2007;2;41.1;6.1;3.1;5.1;7.8;24.4;2.5;5.4;1.3;0.0;20.3;37.4
Isayah Marcin;FC Bayern München;A;Wing;2007;5;45.5;6.0;1.2;1.6;9.5;28.4;0.6;7.5;2.2;4.0;18.5;52.1
Noah Bakker;Eisbären Bremerhaven;A;Combo;2006;3;51.7;5.8;1.9;1.9;2.8;7.0;0.3;2.2;2.8;1.5;11.9;50.0
Nikita Boshenko;Orange Academy;B;Wing;2007;9;170.9;5.8;0.6;0.3;2.3;6.0;0.4;5.3;1.5;0.0;16.5;38.6
#12Düsseldorf;ART Giants Düsseldorf;B;Combo;1900;1;10.3;5.8;5.8;5.5;16.9;58.8;0.0;0.0;9.2;0.0;11.8;83.3
Simon Rentz;Metropol Baskets Ruhr;B;Point;2007;3;31.4;5.5;1.8;0.8;16.7;58.8;4.0;8.2;1.5;0.0;7.6;40.0
Nicolas Deetjen;Team Südhessen;B;Wing;2007;6;85.9;5.5;0.9;0.4;6.9;19.2;0.5;5.8;1.7;1.2;10.0;37.5
Jakob Baur;Team Urspring;A;Combo;2006;6;34.5;5.5;0.9;0.4;10.4;34.9;1.0;10.9;1.5;0.0;10.2;70.0
Erik Niggemann;UBC Münster;A;Point;2007;7;60.0;5.5;0.8;0.4;0.0;0.0;0.0;1.9;1.6;0.0;14.1;59.0
Henrik Rüping;BBA Hagen;B;Point;2006;4;39.4;5.5;1.4;1.6;2.1;5.2;0.2;7.4;6.1;0.0;18.7;41.0
Leo König;VfL Kirchheim Knights;B;Combo;2005;10;147.5;5.3;0.5;0.3;4.4;12.6;0.8;4.5;1.1;0.0;17.9;34.7
Leonard Kant;Porsche BBA Ludwigsburg;A;Forward;2007;4;32.5;5.1;1.3;1.0;3.8;10.5;0.5;14.4;0.0;2.4;11.8;36.8
Manuel Ebert;TG Hanau;B;Wing;2005;7;77.6;5.0;0.7;0.7;3.0;7.9;0.3;8.0;0.0;0.0;13.7;51.1
Selman Yoldas;TG Hanau;B;Forward;2006;2;27.2;5.0;2.5;0.5;0.0;0.0;0.0;13.3;0.0;3.0;5.9;35.7
Ari von Wiegen;Alba Berlin;A;Forward;2008;2;38.6;5.0;2.5;3.2;8.6;23.8;0.5;4.3;2.4;2.4;9.0;87.5
Jan Mausolf;Bamberg freakcity academy;A;Point;2005;3;40.8;5.0;1.7;1.9;6.0;17.5;0.3;4.3;3.7;0.0;12.3;112.5
Jasper Hegele;ROTH Energie BBA GIESSEN 46ers;A;Combo;2007;8;101.7;4.9;0.6;-0.1;6.9;19.7;0.9;4.3;1.9;0.0;11.9;41.3
Maksim Pejkic;BBA Giants Kornwestheim;B;Forward;2005;1;17.5;4.8;4.8;4.7;12.1;46.0;0.0;5.4;3.2;0.0;11.2;52.6
#0Giessen;ROTH Energie BBA GIESSEN 46ers;A;Wing;1900;1;16.8;4.8;4.8;3.2;5.0;12.2;1.0;9.2;2.7;0.0;19.4;57.1
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;A;Combo;2005;5;100.6;4.8;1.0;-0.7;8.3;25.4;2.7;5.2;3.1;0.0;13.3;22.7
Leo Kirchhoff;UBC Münster;A;Point;2007;11;73.2;4.6;0.4;0.3;5.5;14.9;0.3;9.9;4.7;0.0;22.1;49.5
Pedja Labus;Bayer Giants Leverkusen;A;Combo;2005;3;23.1;4.5;1.5;2.0;4.7;12.2;1.0;7.5;8.2;0.0;14.5;28.6
Christian Felix Meine;ratiopharm Ulm;B;Forward;2006;4;32.6;4.5;1.1;1.5;0.0;0.0;0.0;8.4;1.6;0.0;8.0;60.0
Quirin Koller;TS Jahn München;B;Combo;2005;7;78.8;4.3;0.6;-0.5;4.8;13.9;0.6;7.9;5.2;1.3;18.6;25.0
Joel Nzube Friedrich;RheinStars Köln;B;Forward;2007;3;24.4;4.3;1.4;1.5;0.0;0.0;0.0;11.6;4.3;0.0;18.0;37.5
Erwin Ludwig;Dresden Titans;B;Combo;2008;1;7.8;4.3;4.3;8.9;0.0;0.0;0.0;14.5;12.6;0.0;34.3;60.0
Jan Jesgarzewski;Eisbären Bremerhaven;A;Forward;2006;7;75.3;4.1;0.6;-0.1;2.8;7.0;0.2;9.0;0.0;3.0;15.1;40.8
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;A;Point;2005;1;29.3;4.0;4.0;1.5;8.6;24.9;1.2;7.9;5.0;0.0;34.6;34.1
Robin Jonas Epping;Phoenix Hagen;B;Forward;2006;2;10.0;4.0;2.0;2.4;13.1;45.5;0.0;10.6;0.0;0.0;9.2;100.0
Paul Rüß;Hamburg Towers;A;Point;2008;1;18.4;4.0;4.0;7.8;0.0;0.0;0.0;3.6;0.0;0.0;14.5;83.3
Jan Alexander Matern;Hamburg Towers;A;Point;2007;3;9.6;4.0;1.3;2.0;0.0;0.0;0.0;0.0;0.0;0.0;23.2;112.5
Nikolaos Dellis;ART Giants Düsseldorf;B;Forward;2005;3;64.5;3.9;1.3;-0.7;4.2;11.1;0.5;11.1;0.8;2.8;23.3;35.7
Koray Grenz;FC Bayern München;A;Forward;2007;11;178.9;3.8;0.3;-1.0;6.6;18.4;0.7;7.8;1.1;1.5;9.8;25.5
Andreas Basonidis;TS Jahn München;B;Point;2007;4;70.3;3.8;0.9;1.0;7.1;21.8;0.8;3.3;3.7;0.0;26.2;39.7
Maurice Barthel;Würzburg Baskets Akademie;B;Combo;2007;7;70.2;3.5;0.5;0.7;1.6;4.0;0.1;3.2;0.7;0.0;14.5;54.6
Timon Gotsis;KICKZ IBAM;A;Point;2007;3;48.5;3.5;1.2;-0.2;12.9;50.0;1.7;6.9;4.6;0.0;8.3;16.7
Jonas Groß;Young Rasta Dragons;A;Point;2005;8;110.6;3.5;0.4;-0.6;5.2;14.7;0.7;4.7;2.8;0.0;20.2;35.9
Karl Heinz Kleine Holthaus;Young Rasta Dragons;A;Combo;2007;3;29.4;3.5;1.2;0.6;8.7;26.0;1.5;5.7;1.7;0.0;14.8;39.8
Delano Miguel Juma;Niners Chemnitz Academy;A;Wing;2006;10;166.8;3.5;0.4;-0.8;4.2;12.1;0.4;6.9;2.2;1.6;15.5;42.6
Nicolas Hofmann;Team Bonn/Rhöndorf;B;Wing;2007;2;31.4;3.4;1.7;-0.9;5.7;15.7;2.0;5.8;4.7;5.8;15.5;31.8
Yannick Starck;Dresden Titans;B;Big;2007;2;9.9;3.3;1.6;2.0;0.0;0.0;0.0;17.9;0.0;0.0;4.6;100.0
Ole Werker;Bayer Giants Leverkusen;A;Wing;2006;3;21.8;3.3;1.1;1.1;20.8;83.3;0.0;10.1;0.0;0.0;3.9;0.0
Jamie Alexander Köster;BBA Hagen;B;Forward;2007;3;35.6;3.3;1.1;0.8;0.0;0.0;0.0;5.5;2.6;3.1;5.6;25.0
Dariusz Blank;ROTH Energie BBA GIESSEN 46ers;A;Wing;2006;8;71.7;3.3;0.4;0.1;5.9;16.3;0.8;4.5;1.4;0.0;10.2;44.8
Dirk Schmidt;Basketball Löwen Erfurt;B;Combo;2006;4;29.0;3.3;0.8;0.5;0.0;0.0;0.0;8.1;3.2;0.0;8.3;37.5
Mika Ullsperger;Orange Academy;B;Point;2007;5;81.2;3.1;0.6;0.6;4.9;14.1;0.6;2.6;3.2;1.2;25.7;40.5
Carl Clemens;ART Giants Düsseldorf;B;Forward;2005;4;12.8;3.0;0.8;0.3;0.0;0.0;0.0;14.0;4.2;0.0;14.1;100.0
#6Bremerhaven;Eisbären Bremerhaven;A;Wing;1900;1;11.7;3.0;3.0;1.7;10.5;31.3;1.0;15.1;4.1;0.0;11.0;50.0
Damarae Osazuwa Simson;Eisbären Bremerhaven;A;Combo;2007;12;331.9;3.0;0.3;0.6;4.8;12.5;0.3;6.7;2.4;0.5;25.5;44.9
Elijah Kolbe;USC Heidelberg;B;Big;2005;2;14.1;3.0;1.5;0.9;0.0;0.0;0.0;19.1;0.0;6.7;5.6;0.0
Barnabas Bode;Eintracht Frankfurt;B;Combo;2005;5;75.7;3.0;0.6;0.7;3.4;9.0;0.3;7.1;1.3;0.0;5.9;29.4
Jan Züll;Team Bonn/Rhöndorf;B;Point;2006;2;38.2;3.0;1.5;0.6;8.4;25.1;0.7;5.3;2.6;0.0;19.2;46.6
Saro Pisacane;Bamberg freakcity academy;A;Point;2006;4;37.3;2.9;0.7;1.1;4.6;13.0;0.4;6.4;2.8;0.0;28.1;49.3
Alexios Kyriakidis;Medipolis SC Jena;A;Forward;2006;6;38.0;2.9;0.5;0.4;7.1;20.4;1.0;4.6;0.0;0.0;10.3;55.6
