PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Benjamin Jeß;Hamburg Towers;A;Forward;2006;13;339.0;80.5;6.2;9.0;3.1;8.1;0.5;9.7;1.9;0.3;20.8;51.6
Theophilus Badu Agyemang;HAKRO Merlins Crailsheim;B;Forward;2005;10;267.2;79.6;8.0;10.2;5.0;13.6;0.5;16.4;4.6;2.1;28.7;48.8
Linus Ruf;Alba Berlin;A;Big;2005;6;130.6;78.8;13.1;15.9;4.2;11.2;0.7;24.3;2.7;1.5;27.3;62.0
Esli Edigin;Porsche BBA Ludwigsburg;A;Forward;2005;9;212.7;78.1;8.7;8.6;6.7;19.4;1.8;13.0;2.1;3.5;21.8;48.6
Giuseppe Seggio;VfL Kirchheim Knights;B;Forward;2005;13;365.8;77.9;6.0;6.1;4.4;12.7;0.7;13.4;1.9;1.1;21.6;44.0
John Hubertus Kropp;Berlin Braves Baskets;B;Forward;2005;13;220.4;77.4;6.0;6.1;6.8;19.2;1.0;17.2;1.1;0.5;17.9;50.5
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;14;267.7;77.3;5.5;7.1;1.7;4.1;0.3;14.7;2.5;0.0;27.8;52.8
Noé Bom;Hamburg Towers;A;Combo;2006;10;281.8;77.1;7.7;9.6;5.9;16.8;0.9;9.9;4.9;0.4;24.9;46.6
Amon Levi Dörries;Alba Berlin;A;Forward;2006;11;300.4;76.0;6.9;9.6;3.3;8.2;0.4;10.1;2.5;1.3;25.2;54.8
Benjamin Koppke;Niners Chemnitz Academy;A;Forward;2005;11;311.1;75.8;6.9;7.4;1.4;3.7;0.2;15.9;1.7;0.0;23.4;53.3
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;A;Wing;2005;13;380.6;75.1;5.8;5.2;3.0;7.8;0.6;6.9;3.5;0.5;23.4;48.7
Fynn Lastring;Metropol Baskets Ruhr;B;Forward;2007;8;195.1;75.0;9.4;9.3;5.6;14.8;0.9;15.6;1.2;5.6;19.9;52.3
Lars Kremer;Bayer Giants Leverkusen;A;Point;2006;14;334.4;74.8;5.3;6.4;7.5;20.7;1.0;7.6;4.7;1.8;28.0;43.4
Nikolas Sermpezis;FC Bayern München;A;Wing;2007;13;276.9;73.9;5.7;6.1;3.7;9.8;0.8;9.9;3.7;0.0;35.8;48.3
Luka Petronic;Metropol Baskets Ruhr;B;Point;2005;8;183.6;73.9;9.2;9.5;10.5;30.8;1.3;8.8;6.2;0.5;26.2;54.7
Jannis Grußendorf;FC Bayern München;A;Wing;2005;7;164.9;73.8;10.5;12.3;6.5;17.4;1.7;11.3;4.6;1.1;25.3;52.9
Finn Schwaiger;Medipolis SC Jena;A;Point;2005;14;380.0;73.4;5.2;4.7;10.0;30.5;1.7;5.1;2.5;0.0;18.4;43.8
Anton Nufer;Alba Berlin;A;Combo;2006;12;324.5;71.9;6.0;7.4;8.5;23.8;1.2;7.3;2.2;1.4;20.3;47.5
Pablo Estelle;Team Urspring;A;Forward;2007;13;253.7;71.4;5.5;4.6;4.9;14.2;0.8;16.9;2.9;2.4;16.3;47.2
Marko Masic;Porsche BBA Ludwigsburg;A;Wing;2005;12;297.9;71.4;5.9;5.0;5.8;16.2;1.0;8.5;3.0;1.5;21.4;49.1
Raphael Falkenthal;Medipolis SC Jena;A;Combo;2005;6;163.8;71.3;11.9;13.9;7.6;21.5;0.9;9.6;4.5;1.5;26.9;67.6
Theo Sigmund;USC Heidelberg;B;Big;2006;10;244.7;71.3;7.1;6.1;2.5;6.1;0.3;16.6;2.3;1.4;15.8;50.3
Clemens Weinmar;Dresden Titans;B;Big;2005;8;217.9;70.4;8.8;9.7;3.0;8.2;0.4;17.3;0.9;6.9;21.4;45.2
