PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Luis Sziede;VfL Kirchheim Knights;B;Forward;2005;12;206.9;73.7;103.8;-30.1;-2.7;0.5;-2.3;-0.1;-0.3;0.1;-0.2;-0.04;4.8
Vuk Scepanovic;Team Bonn/Rhöndorf;B;Combo;2007;5;62.1;65.2;84.9;-19.7;-3.6;-0.2;-3.8;-0.3;-0.2;0.1;0.0;-0.03;4.8
Maximilian Bartylak;ROTH Energie BBA GIESSEN 46ers;A;Combo;2008;6;41.3;74.8;117.4;-42.6;-4.6;-0.3;-4.9;-0.4;-0.1;-0.1;-0.1;-0.14;4.7
Oliver Gradel;SG Junior Löwen Braunschweig;B;Combo;2006;8;236.9;69.3;100.4;-31.2;-1.6;-0.3;-1.9;0.0;-0.5;0.1;-0.3;-0.06;4.7
Joshua Sievers;UBC Münster;A;Wing;2005;12;242.8;63.2;97.8;-34.6;-3.7;-0.5;-4.2;-1.2;-0.9;0.2;-0.6;-0.10;4.7
Elijah Kolbe;USC Heidelberg;B;Big;2005;2;14.1;28.0;74.4;-46.4;-3.8;0.1;-3.8;0.1;0.0;0.0;0.0;0.04;4.6
Ole Werker;Bayer Giants Leverkusen;A;Wing;2006;3;21.8;67.9;96.4;-28.6;-3.1;0.2;-2.9;0.3;0.0;0.0;0.0;0.00;4.5
Aron Kretschmann;Rostock Seawolves;B;Wing;2007;9;178.8;67.5;103.0;-35.5;-7.2;-1.4;-8.7;-3.1;-0.5;-0.1;-0.7;-0.15;4.5
Kilian Dück;FC Bayern München;A;Big;2008;2;14.5;84.6;93.4;-8.8;-4.4;-0.6;-5.0;-0.2;0.0;0.0;0.0;0.06;4.5
Timon Gotsis;KICKZ IBAM;A;Point;2007;3;48.5;67.9;115.0;-47.1;-3.2;1.2;-2.0;0.4;-0.1;0.0;-0.1;-0.08;4.4
Delano Miguel Juma;Niners Chemnitz Academy;A;Wing;2006;10;166.8;71.2;116.6;-45.4;-5.3;0.7;-4.7;-1.1;-0.5;-0.1;-0.6;-0.14;4.2
Ole Schwering;UBC Münster;A;Combo;2007;5;51.5;71.3;104.8;-33.5;-3.3;-0.3;-3.6;-0.1;-0.1;0.0;-0.1;-0.07;4.2
Quirin Koller;TS Jahn München;B;Combo;2005;7;78.8;56.0;85.7;-29.7;-4.2;0.7;-3.5;-0.2;-0.4;0.3;-0.1;-0.07;4.0
Stefan Rankovic;Phoenix Hagen;B;Forward;2005;4;35.1;57.8;90.3;-32.5;-5.7;-0.3;-6.1;-0.8;-0.2;0.0;-0.1;-0.14;4.0
Tarik Ouro-Djobo;TS Jahn München;B;Big;2007;5;36.2;62.6;99.6;-37.0;-5.2;-0.8;-6.0;-0.8;-0.2;0.0;-0.1;-0.16;4.0
