PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Richard Schmitt;Alba Berlin;A;Wing;2007;5;82.6;24;14;10;3;1;11;9;23;0;0
Clemens Sokolov;Tornados Franken;A;Forward;2007;3;63.8;24;11;4;2;1;9;10;23;0;0
Lennard Glowka;Niners Chemnitz Academy;A;Point;2006;2;57.0;24;4;9;2;1;8;4;14;0;0
Emil Bode;Sartorius Juniors;A;Wing;2006;3;61.5;23;6;1;4;0;4;12;19;0;0
Ben Lenhardt;Berlin Braves Baskets;A;Wing;2006;3;75.4;23;13;6;5;0;13;4;19;0;0
Paul Viefhues;UBC Münster;A;Combo;2005;2;69.2;23;5;5;3;4;9;4;14;0;0
Ben-Luca Port;Baskets Paderborn;A;Forward;2005;3;71.3;23;15;4;1;0;7;10;21;0;0
Jug Bogdan;Bayer Giants Leverkusen;A;Wing;2007;6;65.8;23;17;6;6;1;3;9;35;0;0
Leif Zentgraf;Eintracht Frankfurt;A;Wing;2005;2;69.3;23;6;2;1;0;7;5;8;0;0
Ognjen Cocic;KICKZ IBAM;A;Wing;2005;4;91.2;22;11;1;3;0;6;7;13;0;0
Noah-Oliver Okah;Bayer Giants Leverkusen;A;Combo;2005;6;108.6;21;8;4;7;1;9;15;14;0;0
Dorian Grosber;Alba Berlin;A;Combo;2006;3;61.4;21;14;9;3;0;8;5;28;0;0
Tobias Drochner;Tornados Franken;A;Forward;2005;3;83.7;20;13;3;5;2;2;7;31;0;0
Ruomi Walter;Berlin Braves Baskets;A;Combo;2006;3;45.7;20;3;3;4;1;8;4;18;0;0
Maximilian zur Linde;Baskets Paderborn;A;Wing;2006;3;78.4;20;6;2;5;1;1;8;11;0;0
Marijan Krstonic;Sartorius Juniors;A;Forward;2005;3;55.1;19;13;2;2;0;4;10;22;0;0
Philipp Roos;KICKZ IBAM;A;Forward;2005;3;69.2;19;10;1;3;1;2;11;27;0;0
Matteo Petters;FC Bayern München;A;Forward;2006;5;79.3;19;16;3;3;3;1;10;33;0;0
Maxim Klanten;Berlin Braves Baskets;A;Forward;2006;3;44.3;18;6;2;0;2;3;4;12;0;0
Niklas Müller;Tornados Franken;A;Wing;2006;3;79.6;18;8;1;3;0;4;6;8;0;0
Tim Otto;Medipolis SC Jena;A;Big;2005;2;40.8;17;6;4;1;1;1;7;24;0;0
Jayson Roth;Sartorius Juniors;A;Big;2005;3;39.8;16;11;3;1;3;7;4;18;0;0
Michel Schillmöller;Young Rasta Dragons;A;Point;2007;5;55.5;16;5;3;7;0;4;4;5;0;0
Erik Larsen;Sartorius Juniors;A;Combo;2005;3;54.6;16;6;2;2;0;3;6;6;0;0
Martin Geuther;Medipolis SC Jena;A;Point;2005;3;60.7;16;6;7;6;0;5;5;17;0;0
Raul Dumnici;Tornados Franken;A;Combo;2007;3;57.1;15;6;6;3;0;7;2;4;0;0
Philip Schneck;Team Urspring;A;Point;2005;1;24.5;15;5;6;3;0;1;2;25;0;0
Lukas Modic;Porsche BBA Ludwigsburg;A;Wing;2005;1;29.0;15;9;1;8;0;1;1;23;0;0
Bennett Spree;Baskets Juniors Oldenburg;A;Combo;2006;6;69.7;15;8;4;3;0;4;9;14;0;0
Olisaemeka Williams Itumo;KICKZ IBAM;A;Big;2007;2;39.6;15;15;0;0;2;6;3;21;0;0
Leander Nzume;Baskets Juniors Oldenburg;A;Forward;2006;7;46.5;14;10;1;2;0;5;4;20;0;0
Mats Niggemann;UBC Münster;A;Combo;2005;3;64.1;14;13;5;5;0;13;1;4;0;0
Henrik Besch;Berlin Braves Baskets;A;Forward;2005;3;44.3;14;8;1;0;0;3;0;15;0;0
Felix Zacharias;Niners Chemnitz Academy;A;Point;2005;1;19.0;14;0;2;1;0;1;4;11;0;0
