Name;Team;PER
Julian Günther;Bamberg freakcity academy;46.7
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;45.1
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;43.5
Jonas Pohle;Bayer Giants Leverkusen;43.3
Eren Simbil;Alba Berlin;43.0
Ivan Kharchenkov;FC Bayern München;40.7
Karl Heinz Kleine Holthaus;Young Rasta Dragons;40.0
Tobias Kamp;Bayer Giants Leverkusen;37.9
#1Towers;Hamburg Towers;35.2
Jonas Mendl;Bamberg freakcity academy;34.9
Jacques Achard;Medipolis SC Jena;34.1
Noah Bakker;Eisbären Bremerhaven;31.9
Yari Monninkhoff;Alba Berlin;31.3
Clemens Bialas;Baskets Paderborn;29.9
Delano Miguel Juma;Niners Chemnitz Academy;27.6
Jan Mausolf;Bamberg freakcity academy;27.1
Jonathan Elzie;Hamburg Towers;26.6
#0Giessen;ROTH Energie BBA GIESSEN 46ers;22.8
Anton Haverkamp;UBC Münster;22.2
Paul Rüß;Hamburg Towers;21.8
Jonas Groß;Young Rasta Dragons;21.4
Anton Kemmer;Alba Berlin;20.5
Jan Jesgarzewski;Eisbären Bremerhaven;19.6
#17Giessen;ROTH Energie BBA GIESSEN 46ers;19.1
Ari von Wiegen;Alba Berlin;18.5
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;18.2
Jasper Hegele;ROTH Energie BBA GIESSEN 46ers;18.1
Bastian Nückel;Bamberg freakcity academy;17.8
Lukas Probst;Medipolis SC Jena;16.1
Maximilian Bartylak;ROTH Energie BBA GIESSEN 46ers;15.7
Alfons Milatz;Niners Chemnitz Academy;15.6
Maurice Reiter;Alba Berlin;15.3
Maj Dolinsek;KICKZ IBAM;15.1
#6Bremerhaven;Eisbären Bremerhaven;14.5
Max Riedel;Alba Berlin;14.4
Karl Johan Vändra;ROTH Energie BBA GIESSEN 46ers;13.7
Noah Spindler;Niners Chemnitz Academy;13.3
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;13.2
Kilian Dück;FC Bayern München;11.7
Jordan Juel Lockhart;ROTH Energie BBA GIESSEN 46ers;11.7
Jarno Wallrafen;UBC Münster;9.6
Ole Werker;Bayer Giants Leverkusen;9.4
Namik Muratovic;FC Bayern München;8.2
Jules Victor Apollon Galvani;Hamburg Towers;7.9
Matteo Sattler;Bamberg freakcity academy;7.7
Leander Werner;Niners Chemnitz Academy;7.4
Mattia Probst;Team Urspring;6.8
