PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Marijan Krstonic;Sartorius Juniors;A;Forward;2005;3;55.1;12.0;4.0;3.6;3.2;9.0;0.5;15.2;1.9;0.0;17.3;54.6
Aksel Laso;FC Bayern München;A;Point;2006;4;61.1;11.6;2.9;2.1;17.4;67.3;2.4;2.8;2.5;0.0;10.3;49.0
Jeremy Julian Kolev;KICKZ IBAM;A;Wing;2005;4;113.3;11.5;2.9;2.1;1.6;4.3;0.2;6.4;3.7;1.9;18.3;46.6
Ben Lenhardt;Berlin Braves Baskets;A;Wing;2006;3;75.4;11.5;3.8;4.8;5.6;16.2;0.5;10.7;3.4;0.0;21.7;51.3
Martin Geuther;Medipolis SC Jena;A;Point;2005;3;60.7;11.5;3.8;3.8;8.3;26.7;1.4;6.6;5.3;0.0;18.8;41.2
Paul Schmorleiz;Alba Berlin;A;Big;2006;4;26.3;11.3;2.8;3.1;3.1;7.6;0.3;15.0;3.6;7.7;19.7;62.5
Clemens Sokolov;Tornados Franken;A;Forward;2007;3;63.8;11.3;3.8;3.0;5.0;13.1;0.4;9.4;1.5;1.9;18.3;60.6
Jayson Roth;Sartorius Juniors;A;Big;2005;3;39.8;11.3;3.8;4.4;4.4;12.7;0.4;17.8;1.3;7.8;25.8;50.0
Marvin Eßer;Eintracht Frankfurt;A;Forward;2005;2;45.9;10.8;5.4;7.2;3.9;12.2;0.0;5.7;2.5;2.3;8.4;75.0
Henrik Besch;Berlin Braves Baskets;A;Forward;2005;3;44.3;10.8;3.6;4.7;2.8;7.6;0.3;11.2;0.0;0.0;13.2;72.9
Joscha Zentgraf;Eintracht Frankfurt;A;Forward;2005;2;40.6;10.6;5.3;3.3;11.7;44.0;2.5;17.6;1.4;0.0;11.8;50.0
Lennard Glowka;Niners Chemnitz Academy;A;Point;2006;2;57.0;10.3;5.1;3.4;8.6;26.1;1.1;4.0;1.8;1.4;26.3;50.8
Eduard Rantz;FC Bayern München;A;Big;2007;2;17.3;10.3;5.1;4.0;0.0;0.0;0.0;29.3;0.0;6.2;17.9;75.8
Joshua Sievers;UBC Münster;A;Forward;2005;3;65.1;10.3;3.4;3.3;8.3;23.9;1.0;11.9;0.0;0.0;12.7;40.5
Jermaine Fleck;Berlin Braves Baskets;A;Combo;2005;2;58.1;10.0;5.0;6.0;4.6;13.3;0.6;2.3;1.8;1.8;29.1;61.5
Emil Bode;Sartorius Juniors;A;Wing;2006;3;61.5;9.5;3.2;2.5;1.7;4.5;0.3;6.3;3.4;0.0;15.5;66.1
Ben-Luca Port;Baskets Paderborn;A;Forward;2005;3;71.3;9.3;3.1;3.3;4.8;12.3;0.6;11.5;0.7;0.0;18.7;47.5
Ruomi Walter;Berlin Braves Baskets;A;Combo;2006;3;45.7;9.0;3.0;4.4;4.6;12.8;0.4;4.1;4.5;2.3;22.7;69.4
Sebastian Kuhn;Porsche BBA Ludwigsburg;A;Point;2007;3;16.1;8.5;2.8;3.4;14.1;46.5;2.0;3.5;6.1;6.3;9.3;115.4
Ivan Crnjac;Eintracht Frankfurt;A;Forward;2007;2;68.4;8.5;4.3;4.8;1.9;5.5;0.4;9.5;1.7;1.5;25.0;42.5
Paul Viefhues;UBC Münster;A;Combo;2005;2;69.2;8.1;4.1;4.1;5.1;13.7;0.6;4.0;2.1;4.5;21.6;43.9
Max Emil Weber;Baskets Paderborn;A;Forward;2006;3;39.4;8.0;2.7;2.4;3.9;9.8;0.0;4.2;1.2;2.3;10.8;60.0
Daniel Riedrich;KICKZ IBAM;A;Forward;2005;4;62.9;7.8;1.9;1.6;6.1;18.2;1.5;13.4;0.8;0.0;11.5;26.1
Felix Zacharias;Niners Chemnitz Academy;A;Point;2005;1;19.0;7.6;7.6;4.6;6.8;20.4;2.0;0.0;2.7;0.0;23.0;85.4
Hendrik Metsa;Medipolis SC Jena;A;Point;2007;3;71.2;7.5;2.5;2.6;5.4;16.2;0.6;4.7;2.2;0.0;23.3;51.2
Bennett Spree;Baskets Juniors Oldenburg;A;Combo;2006;6;69.7;7.3;1.2;0.5;5.9;17.6;1.0;6.9;2.3;0.0;14.2;42.6
Giuliano Aufiero;FC Bayern München;A;Wing;2007;3;33.3;7.0;2.3;1.5;7.2;21.3;1.0;12.5;4.6;0.0;11.4;50.0
Maxim Klanten;Berlin Braves Baskets;A;Forward;2006;3;44.3;6.9;2.3;1.8;3.1;8.4;0.7;8.4;0.0;4.8;23.6;45.9
Alfred Milatz;Niners Chemnitz Academy;A;Wing;2006;2;50.4;6.3;3.1;2.2;13.1;45.5;3.0;4.5;0.0;0.0;5.6;50.0
Maximilian zur Linde;Baskets Paderborn;A;Wing;2006;3;78.4;6.0;2.0;0.7;2.7;6.6;2.0;4.2;3.0;1.2;16.0;35.2
Leo Hylla;Alba Berlin;A;Wing;2006;5;47.3;6.0;1.2;1.0;6.9;19.2;1.5;7.6;1.0;0.0;13.8;46.2
Johannes Hellmann;Young Rasta Dragons;A;Wing;2006;7;42.6;6.0;0.9;0.7;6.7;19.4;2.0;9.9;1.2;0.0;9.4;34.9
Finn Schwaiger;Medipolis SC Jena;A;Point;2005;3;68.6;6.0;2.0;1.4;13.6;50.9;2.1;3.9;0.0;0.0;20.5;29.5
Gaston Nguyen Manh;Sartorius Juniors;A;Point;2008;3;94.8;5.8;1.9;2.9;5.1;14.9;0.7;3.4;2.8;0.0;20.9;40.7
Daniel Hinkov;Porsche BBA Ludwigsburg;A;Forward;2007;1;12.4;5.8;5.8;4.3;5.4;14.0;1.0;16.6;0.0;0.0;22.0;60.3
Finley Prüver;Eintracht Frankfurt;A;Point;2006;2;8.8;5.5;2.8;3.6;0.0;0.0;0.0;7.4;12.9;0.0;16.5;100.0
Stanislav Hinkov;Porsche BBA Ludwigsburg;A;Wing;2006;3;64.2;5.4;1.8;1.1;4.8;13.6;0.8;6.3;1.6;1.6;14.3;40.7
Leander Werner;Niners Chemnitz Academy;A;Combo;2006;2;15.4;5.3;2.6;2.2;8.2;24.4;0.0;3.7;0.0;0.0;11.1;97.2
Paul Bahn;Alba Berlin;A;Combo;2006;6;124.5;5.1;0.9;1.0;1.2;3.1;0.2;4.2;3.9;0.0;21.8;40.5
Timon Gotsis;KICKZ IBAM;A;Point;2007;2;19.5;5.1;2.6;1.1;9.7;29.5;0.0;11.5;5.1;0.0;13.9;41.7
Koray Grenz;FC Bayern München;A;Point;2007;2;15.3;5.0;2.5;1.8;16.2;58.8;0.0;3.9;6.5;0.0;8.1;66.7
John Hubertus Kropp;Berlin Braves Baskets;A;Forward;2005;3;38.6;5.0;1.7;1.9;3.3;9.0;0.3;8.0;0.0;2.8;12.7;59.2
Elias Nold;Baskets Juniors Oldenburg;A;Point;2005;7;58.4;5.0;0.7;0.1;10.8;36.0;1.3;3.1;3.6;2.1;9.7;34.9
Ognjen Cocic;KICKZ IBAM;A;Wing;2005;4;91.2;4.9;1.2;1.3;1.1;3.0;0.2;7.3;1.7;0.0;17.0;40.4
Leonard Dertmann;UBC Münster;A;Big;2007;3;27.5;4.9;1.6;1.7;5.5;15.0;0.3;14.1;0.0;3.0;9.7;83.3
Caspar Chima Okoro;KICKZ IBAM;A;Forward;2006;4;68.6;4.6;1.2;-1.6;7.2;22.1;1.0;8.8;1.5;3.1;11.3;31.7
Luca Kellig;Niners Chemnitz Academy;A;Wing;2006;2;56.3;4.6;2.3;2.9;1.5;4.0;0.1;9.0;3.6;0.0;41.2;50.0
Carlos Kellner;Sartorius Juniors;A;Combo;2006;1;2.3;4.5;4.5;7.2;9.2;31.7;0.0;35.0;0.0;0.0;55.6;89.3
Noah-Oliver Okah;Bayer Giants Leverkusen;A;Combo;2005;6;108.6;4.4;0.7;-0.5;4.3;11.7;0.4;4.3;3.2;1.0;12.7;44.5
Michel Schillmöller;Young Rasta Dragons;A;Point;2007;5;55.5;4.4;0.9;0.0;3.6;9.8;0.8;5.0;6.5;0.0;21.8;32.0
Niklas Müller;Tornados Franken;A;Wing;2006;3;79.6;4.4;1.5;0.0;1.5;3.6;0.3;5.5;1.8;0.0;13.9;38.8
Gido Nanninga;Baskets Juniors Oldenburg;A;Big;2006;4;8.1;4.3;1.1;1.6;12.7;45.5;1.0;43.1;0.0;0.0;11.4;100.0
Jakub Klobusiak;Niners Chemnitz Academy;A;Forward;2005;2;46.3;4.3;2.1;2.3;2.7;7.1;0.3;9.7;0.0;0.0;13.9;52.1
Rephael Edward;Eintracht Frankfurt;A;Big;2007;2;11.4;4.0;2.0;1.2;0.0;0.0;0.0;28.4;0.0;9.1;12.6;50.0
Leif Zentgraf;Eintracht Frankfurt;A;Wing;2005;2;69.3;4.0;2.0;0.6;2.2;6.4;0.3;5.6;0.8;0.0;20.5;50.9
Muhamad-Adel Soumare Medford;UBC Münster;A;Forward;2006;2;30.1;3.6;1.8;0.5;3.7;9.4;0.2;9.0;1.6;0.0;14.0;76.9
Niels Dübener;Bayer Giants Leverkusen;A;Wing;2005;3;38.1;3.5;1.2;1.4;2.8;7.6;0.3;9.4;2.6;0.0;14.5;30.0
Paul Schmidt;Tornados Franken;A;Combo;2006;3;14.9;3.5;1.2;1.3;0.0;0.0;0.0;0.0;3.2;0.0;5.4;125.0
Alfons Milatz;Niners Chemnitz Academy;A;Forward;2007;1;13.5;3.5;3.5;2.4;6.8;19.4;1.0;3.6;0.0;5.6;16.7;65.8
Paul Levi Urban;Berlin Braves Baskets;A;Wing;2005;3;61.2;3.5;1.2;-0.3;7.8;23.9;1.5;6.1;2.5;0.0;8.9;35.7
Tim Rothämel;Medipolis SC Jena;A;Point;2006;1;3.0;3.3;3.3;3.8;0.0;0.0;0.0;0.0;17.2;0.0;14.6;150.0
Daniel Obehi Mack;Porsche BBA Ludwigsburg;A;Big;2005;3;4.4;3.3;1.1;0.9;0.0;0.0;0.0;13.0;0.0;22.0;9.7;100.0
Joshua William Greene;FC Bayern München;A;Point;2006;1;18.7;3.1;3.1;3.2;7.8;22.7;2.0;2.6;2.7;0.0;17.1;48.6
Teis Hümmels;Sartorius Juniors;A;Big;2005;3;23.1;2.8;0.9;0.2;5.4;16.1;1.0;8.4;0.0;9.0;11.6;40.0
Daniel Biel;Medipolis SC Jena;A;Big;2007;3;22.9;2.8;0.9;0.7;8.8;29.0;0.8;23.3;2.3;5.5;26.6;12.5
Moritz Renner;KICKZ IBAM;A;Wing;2007;1;2.9;2.8;2.8;3.2;0.0;0.0;0.0;40.4;18.8;0.0;51.8;33.3
Jannis Grußendorf;FC Bayern München;A;Combo;2005;3;53.9;2.8;0.9;-1.5;7.1;20.8;3.0;1.9;1.9;4.2;10.4;44.4
Colin Hartig;Niners Chemnitz Academy;A;Wing;2005;2;30.3;2.5;1.3;1.1;0.0;0.0;0.0;3.7;1.7;0.0;6.3;50.0
Mats Niggemann;UBC Münster;A;Combo;2005;3;64.1;2.5;0.8;0.4;4.8;12.9;0.4;11.3;3.8;0.0;24.3;28.7
Raul Dumnici;Tornados Franken;A;Combo;2007;3;57.1;2.3;0.8;0.3;6.6;18.1;0.9;5.8;2.5;0.0;22.6;30.2
Gregor Gewinner;Baskets Juniors Oldenburg;A;Point;2007;2;3.4;2.0;1.0;1.8;0.0;0.0;0.0;19.3;14.9;0.0;38.6;75.0
Jordan Knacke;KICKZ IBAM;A;Forward;2007;1;17.7;2.0;2.0;1.8;0.0;0.0;0.0;11.7;3.3;0.0;11.1;25.0
Erik Larsen;Sartorius Juniors;A;Combo;2005;3;54.6;1.9;0.6;-0.2;2.8;7.8;0.7;7.1;1.9;0.0;20.4;36.4
Theo Roesinger;FC Bayern München;A;Wing;2008;1;13.1;1.8;1.8;0.8;8.0;23.8;0.0;3.7;0.0;0.0;11.9;62.5
Paul Luis Schwabe;Young Rasta Dragons;A;Forward;2005;1;8.5;1.8;1.8;1.5;0.0;0.0;0.0;6.4;0.0;0.0;4.6;100.0
Darijo Kopilovic;Berlin Braves Baskets;A;Combo;2007;3;43.1;1.8;0.6;0.3;6.0;17.6;0.5;5.7;3.6;0.0;11.6;36.8
Lukas Wiegeler;UBC Münster;A;Combo;2007;3;27.3;1.8;0.6;0.9;5.5;14.9;0.7;4.1;0.0;0.0;19.8;50.0
Frederik Selzer;Bayer Giants Leverkusen;A;Big;2006;1;4.5;1.5;1.5;2.4;0.0;0.0;0.0;37.2;0.0;0.0;17.9;100.0
Yari Monninkhoff;Alba Berlin;A;Forward;2007;2;6.2;1.5;0.8;0.3;0.0;0.0;0.0;19.6;0.0;0.0;6.1;62.5
Max Riedel;Alba Berlin;A;Point;2006;2;5.7;1.5;0.8;0.9;0.0;0.0;0.0;0.0;17.0;0.0;22.0;50.0
Jamie Camron Edoka;Eintracht Frankfurt;A;Point;2008;1;24.8;1.5;1.5;-1.8;11.1;39.7;3.0;7.4;2.2;0.0;12.4;17.2
Dominic Mack;Porsche BBA Ludwigsburg;A;Forward;2007;1;4.0;1.5;1.5;-0.4;0.0;0.0;0.0;30.6;12.7;0.0;50.4;45.5
Till Galler;Team Urspring;A;Point;2007;3;13.6;1.3;0.4;-0.3;22.5;115.4;3.0;0.0;3.9;0.0;7.0;100.0
Timon Hoffmann;Baskets Paderborn;A;Forward;2006;3;38.2;1.1;0.4;-1.0;3.8;9.4;0.5;7.2;0.0;2.4;11.4;36.6
Isayah Marcin;FC Bayern München;A;Combo;2007;2;18.7;1.1;0.6;1.1;7.5;22.7;0.7;2.8;0.0;0.0;18.1;67.3
Leo Kirchhoff;UBC Münster;A;Point;2007;3;19.1;1.0;0.3;-0.4;19.2;73.6;1.2;0.0;5.1;0.0;14.8;27.8
Finn Stuhlmeyer;Baskets Juniors Oldenburg;A;Big;2007;3;7.5;1.0;0.3;-0.4;0.0;0.0;0.0;36.0;0.0;0.0;30.4;39.5
Ben Denkena;Baskets Juniors Oldenburg;A;Point;2005;3;20.4;1.0;0.3;0.4;14.8;53.6;0.8;8.0;2.5;0.0;10.8;0.0
