PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Tim Rothämel;Medipolis SC Jena;A;Point;2006;1;3.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;82.0;3.8
Paul Schmorleiz;Alba Berlin;A;Big;2006;4;6.6;3.0;1.8;0.3;0.5;0.5;0.8;0.5;4.0;25.7;3.1
Finley Prüver;Eintracht Frankfurt;A;Point;2006;2;4.4;3.0;0.5;0.0;1.0;0.0;0.0;1.0;4.0;57.4;3.6
John Hubertus Kropp;Berlin Braves Baskets;A;Forward;2005;3;12.9;3.0;1.7;0.3;0.0;0.3;1.0;0.7;3.0;9.9;1.9
Timon Gotsis;KICKZ IBAM;A;Point;2007;2;9.7;2.5;2.0;1.0;1.0;0.0;0.0;2.5;4.0;20.4;1.1
Alfred Milatz;Niners Chemnitz Academy;A;Wing;2006;2;25.2;2.5;2.0;1.5;0.0;0.0;0.5;0.5;4.0;7.1;2.2
Bennett Spree;Baskets Juniors Oldenburg;A;Combo;2006;6;11.6;2.5;1.3;0.7;0.5;0.0;0.7;1.5;2.3;9.7;0.5
Aksel Laso;FC Bayern München;A;Point;2006;4;15.3;2.5;0.8;3.0;0.8;0.0;1.3;1.5;4.0;12.1;2.1
Leo Hylla;Alba Berlin;A;Wing;2006;5;9.5;2.4;1.2;0.6;0.2;0.0;0.4;1.4;2.6;10.3;1.0
Paul Levi Urban;Berlin Braves Baskets;A;Wing;2005;3;20.4;2.3;2.0;1.0;1.0;0.0;0.7;3.3;3.3;5.3;-0.3
Giuliano Aufiero;FC Bayern München;A;Wing;2007;3;11.1;2.3;2.3;0.7;1.0;0.0;0.7;2.3;4.3;14.1;1.5
Alen Blakaj;Young Rasta Dragons;A;Wing;2007;4;11.0;2.3;1.0;0.5;0.3;0.5;0.8;1.3;0.8;1.9;-0.7
Tim-Felix Bühren;Young Rasta Dragons;A;Wing;2005;4;7.6;2.3;0.3;0.0;0.0;0.0;0.5;1.0;1.3;8.0;0.2
Sebastian Kuhn;Porsche BBA Ludwigsburg;A;Point;2007;3;5.4;2.0;0.3;0.7;0.7;0.3;0.3;0.0;3.7;35.0;3.4
Koray Grenz;FC Bayern München;A;Point;2007;2;7.6;2.0;0.5;1.0;1.0;0.0;0.0;1.5;4.0;24.1;1.8
Frederik Selzer;Bayer Giants Leverkusen;A;Big;2006;1;4.5;2.0;3.0;0.0;0.0;0.0;1.0;2.0;4.0;17.3;2.4
Leander Nzume;Baskets Juniors Oldenburg;A;Forward;2006;7;6.6;2.0;1.4;0.1;0.3;0.0;0.7;0.6;2.9;18.7;2.7
Paul Luis Schwabe;Young Rasta Dragons;A;Forward;2005;1;8.5;2.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;15.8;1.5
Moritz Renner;KICKZ IBAM;A;Wing;2007;1;2.9;2.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;69.7;3.2
Jordan Knacke;KICKZ IBAM;A;Forward;2007;1;17.7;2.0;3.0;0.0;1.0;0.0;0.0;1.0;3.0;8.2;1.8
