PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Paul Viefhues;UBC Münster;A;Combo;2005;2;19.6;16.0;3.0;0.5;2.0;0.0;1.5;0.5;11.5;41.6;10.7
Ben Diederichs;Team Südhessen;B;Big;2005;9;23.8;16.0;8.7;0.7;1.4;1.0;2.3;2.9;17.3;38.7;14.2
David Engelhart;Würzburg Baskets Akademie;B;Forward;2005;10;29.6;15.9;8.5;1.9;0.6;0.5;2.0;1.8;15.4;27.8;10.8
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;A;Wing;2005;9;25.7;15.9;5.1;2.2;1.0;0.3;1.7;1.3;15.2;35.0;10.9
Gianluca Christos Pavlidis;Phoenix Hagen;B;Wing;2006;7;31.2;15.9;5.0;0.9;1.1;0.4;2.3;3.4;15.0;28.6;11.3
Kristian Ortelli;Bamberg freakcity academy;A;Wing;2006;11;32.4;15.8;8.5;4.1;1.7;0.5;4.7;2.3;16.0;26.7;10.8
Jakub Ševčík;HAKRO Merlins Crailsheim;B;Combo;2007;5;28.0;15.8;0.8;1.4;2.0;0.0;5.2;2.6;5.6;15.2;3.9
Joshua Bonga;Young Rasta Dragons;A;Point;2005;5;27.6;15.6;3.4;3.6;1.8;0.0;4.8;3.0;12.4;26.8;8.0
Dominik Dolic;FC Bayern München;A;Point;2006;6;27.5;15.3;2.0;2.8;1.2;0.2;1.5;1.2;12.8;31.4;10.4
Tim Ludwig;Phoenix Hagen;B;Point;2007;8;23.9;15.3;2.9;1.4;1.8;0.0;2.0;1.6;11.4;33.9;10.0
Nikolas Sermpezis;FC Bayern München;A;Wing;2007;13;21.3;15.2;3.6;1.8;1.6;0.0;2.3;3.2;10.2;31.3;6.1
Ben-Luca Port;Baskets Paderborn;A;Big;2005;14;29.9;15.1;8.6;3.1;1.8;2.2;2.4;2.9;20.1;33.2;14.4
Jorke Aav;Team Urspring;A;Combo;2005;11;28.3;15.0;5.3;4.5;1.7;0.1;2.9;2.4;15.7;32.1;13.6
#8Bonn;Team Bonn/Rhöndorf;B;Forward;1900;1;23.6;15.0;6.0;0.0;4.0;2.0;1.0;3.0;19.0;45.0;16.4
Henning Gustrau;Metropol Baskets Ruhr;B;Big;2005;8;21.9;14.6;8.8;2.4;0.9;0.3;1.4;2.6;19.9;44.2;14.4
David Koch;Bayer Giants Leverkusen;A;Wing;2005;13;25.8;14.6;4.0;1.3;1.2;0.2;1.8;1.2;10.5;26.0;10.2
Evan Rietsch;USC Heidelberg;B;Wing;2005;9;31.3;14.6;5.7;3.0;1.8;0.2;3.8;3.3;12.3;22.2;7.9
Linus Ruf;Alba Berlin;A;Big;2005;6;21.8;14.5;9.7;1.7;1.2;0.3;2.5;2.0;18.8;42.9;15.9
