PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
David Böning;Team Bonn/Rhöndorf;B;Forward;2007;3;33.6;11;8;2;3;1;3;0;17;0;0
Jan Züll;Team Bonn/Rhöndorf;B;Point;2006;2;38.2;11;4;5;2;0;7;5;7;0;0
Henrik Rüping;BBA Hagen;B;Point;2006;4;39.4;11;6;1;5;0;5;2;8;0;0
Amos Bayekula Zikengi;Phoenix Hagen;B;Point;2006;3;60.0;11;2;4;0;1;6;7;5;0;0
Aleksandar Zecevic;Baskets Juniors Oldenburg;A;Forward;2006;3;32.5;11;10;3;0;1;5;4;16;0;0
Leandro Santuario;Orange Academy;B;Point;2007;6;39.7;10;1;1;3;0;5;1;4;0;0
Ruben Köster;Baskets Juniors Oldenburg;A;Wing;2006;4;30.2;10;7;1;1;0;3;4;4;0;0
Stefan Rankovic;Phoenix Hagen;B;Forward;2005;4;35.1;10;8;2;1;0;5;5;4;0;0
Tidiane Ly;Berlin Braves Baskets;B;Point;2006;7;65.2;10;3;4;7;0;6;4;13;0;0
Domenico-Germaine Hansmeier;Baskets Paderborn;A;Combo;2006;9;101.9;10;3;7;3;0;9;5;6;0;0
Jan Dübener;Bayer Giants Leverkusen;A;Point;2007;2;24.8;10;8;6;1;0;2;0;19;0;0
Erjon Panxhaj;VfL Kirchheim Knights;B;Forward;2006;8;38.1;10;4;1;0;0;3;4;7;0;0
Jonas Mendl;Bamberg freakcity academy;A;Wing;2008;3;45.0;10;7;2;1;0;3;2;11;0;0
Isayah Marcin;FC Bayern München;A;Wing;2007;5;45.5;10;6;6;2;2;10;2;10;0;0
Alfons Milatz;Niners Chemnitz Academy;A;Wing;2007;7;49.2;10;2;1;0;0;2;3;5;0;0
Iven Mestrovic;TG Hanau;B;Forward;2007;5;66.6;10;8;0;1;1;4;6;6;0;0
Benedikt Lediger;Würzburg Baskets Akademie;B;Combo;2007;8;75.3;10;8;6;2;0;14;21;0;0;0
Franz Schallenberg;Team Bonn/Rhöndorf;B;Forward;2006;5;70.4;10;9;3;2;2;2;6;11;0;0
Mats Classen;Phoenix Hagen;B;Forward;2006;7;130.6;9;35;4;3;1;4;16;32;0;0
Noah Terence Stansbury Daleiden;Orange Academy;B;Forward;2008;1;16.2;9;2;1;0;0;2;2;4;0;0
Kolja Meier;SG Junior Löwen Braunschweig;B;Forward;2005;10;84.1;9;15;2;1;0;4;11;15;0;0
Teo Milicic;Orange Academy;B;Point;2008;1;21.5;9;1;8;4;0;2;1;13;0;0
Noah Liem;UBC Münster;A;Point;2006;11;65.4;9;2;6;6;0;14;8;-8;0;0
Nicolas Deetjen;Team Südhessen;B;Wing;2007;6;85.9;9;9;4;3;1;8;5;10;0;0
Nevio Kwasny;SG Junior Löwen Braunschweig;B;Wing;2006;5;41.5;9;4;0;0;0;3;1;3;0;0
Medic Lovro;BBA Giants Kornwestheim;B;Big;2005;4;35.8;9;12;0;1;0;2;3;18;0;0
Jan Alexander Matern;Hamburg Towers;A;Point;2007;3;9.6;9;0;0;0;0;1;2;7;0;0
Jan Mausolf;Bamberg freakcity academy;A;Point;2005;3;40.8;9;3;2;3;0;7;3;10;0;0
Gavin Ahamefula Okalla;Rostock Seawolves;B;Forward;2005;4;37.9;9;9;2;1;0;0;4;12;0;0
Tim Rothämel;Medipolis SC Jena;A;Point;2006;5;41.3;8;5;4;2;0;7;7;6;0;0
Paul Rüß;Hamburg Towers;A;Point;2008;1;18.4;8;1;0;0;0;1;0;6;0;0
Yari Monninkhoff;Alba Berlin;A;Wing;2007;2;20.5;8;2;1;1;0;1;1;10;0;0
Tarik Ouro-Djobo;TS Jahn München;B;Big;2007;5;36.2;8;12;1;1;0;7;7;8;0;0
Maximilian Eichbaum;Bamberg freakcity academy;A;Wing;2007;3;38.2;8;7;2;1;0;6;4;4;0;0
#0Giessen;ROTH Energie BBA GIESSEN 46ers;A;Wing;1900;1;16.8;8;3;1;1;0;1;3;8;0;0
Jules Victor Apollon Galvani;Hamburg Towers;A;Forward;2006;4;52.0;8;6;0;0;1;0;15;8;0;0
Felix Kiehlneker;Orange Academy;B;Forward;2008;2;20.7;8;5;0;1;0;1;0;10;0;0
Dominik Dehmer;Rostock Seawolves;B;Combo;2007;4;66.3;8;10;6;4;0;6;7;13;0;0
#10 Giessen;ROTH Energie BBA GIESSEN 46ers;A;Wing;1900;1;18.7;8;2;2;0;0;7;1;-2;0;0
Kaloyan Iskrenov Lozanov;Team Urspring;A;Combo;2007;9;53.3;8;8;7;2;0;11;10;9;0;0
Jonte Elias Heßling;Eisbären Bremerhaven;A;Point;2006;2;48.7;8;3;1;4;0;10;3;-2;0;0
Fabian Kayser;Baskets Paderborn;A;Combo;2009;2;21.4;8;1;2;0;0;4;4;2;0;0
Alexios Kyriakidis;Medipolis SC Jena;A;Forward;2006;6;38.0;8;3;2;0;0;2;4;7;0;0
Ole Schwering;UBC Münster;A;Combo;2007;5;51.5;7;4;4;1;0;3;4;3;0;0
Nicolas Hofmann;Team Bonn/Rhöndorf;B;Wing;2007;2;31.4;7;3;2;3;2;1;7;7;0;0
Lars Kauffmann;Team Südhessen;B;Point;2005;6;29.2;7;1;2;1;0;2;1;3;0;0
Piet Jaffke;Metropol Baskets Ruhr;B;Combo;2006;6;73.5;7;10;11;0;0;12;5;6;0;0
Rémi Völkers;Team Bonn/Rhöndorf;B;Point;2008;1;12.8;7;1;4;5;0;2;3;13;0;0
Noah Kagiso Batsile;Eisbären Bremerhaven;A;Forward;2006;5;37.4;7;4;2;0;2;4;6;3;0;0
Jordan Juel Lockhart;ROTH Energie BBA GIESSEN 46ers;A;Combo;2008;1;24.9;7;1;0;1;0;0;3;4;0;0
Ari von Wiegen;Alba Berlin;A;Forward;2008;2;38.6;7;3;2;2;1;4;5;10;0;0
Gerry Schuder Minden;BBA Giants Kornwestheim;B;Combo;2007;5;37.4;7;3;2;2;0;7;6;-4;0;0
Jakob Baur;Team Urspring;A;Combo;2006;6;34.5;7;6;3;1;0;3;8;12;0;0
Karl Heinz Kleine Holthaus;Young Rasta Dragons;A;Combo;2007;3;29.4;7;3;3;1;0;2;3;6;0;0
Maximilian Bartylak;ROTH Energie BBA GIESSEN 46ers;A;Combo;2008;6;41.3;6;5;3;0;0;3;3;6;0;0
Maurice Reiter;Alba Berlin;A;Forward;2006;6;32.0;6;5;1;0;1;4;1;4;0;0
Robin Mingaz;BBA Hagen;B;Combo;2005;1;25.6;6;8;2;0;0;3;1;3;0;0
Viktor Vaskovskyi;Team Südhessen;B;Combo;2005;7;39.3;6;3;2;1;0;10;2;-10;0;0
Lennart Tröppner;Team Urspring;A;Forward;2007;7;42.9;6;10;6;1;1;2;3;17;0;0
Meverick Falkenberg;Basketball Löwen Erfurt;B;Forward;2007;7;65.5;6;14;2;1;0;6;1;10;0;0
Erwin Ludwig;Dresden Titans;B;Combo;2008;1;7.8;6;2;0;2;0;1;1;7;0;0
Gregor Gewinner;Baskets Juniors Oldenburg;A;Point;2007;7;22.8;6;7;4;1;0;2;0;8;0;0
Christian Felix Meine;ratiopharm Ulm;B;Forward;2006;4;32.6;6;5;0;1;0;1;3;9;0;0
Daniel Obehi Mack;Porsche BBA Ludwigsburg;A;Forward;2005;3;51.6;6;14;5;1;2;1;3;21;0;0
Jesse Oduneye;Sartorius Juniors;B;Wing;2005;7;59.3;6;16;7;11;2;10;4;28;0;0
Carl Clemens;ART Giants Düsseldorf;B;Forward;2005;4;12.8;6;3;0;1;0;1;7;9;0;0
Gido Nanninga;Baskets Juniors Oldenburg;A;Forward;2006;6;36.2;6;10;2;3;0;4;8;2;0;0
Joel Nzube Friedrich;RheinStars Köln;B;Forward;2007;3;24.4;6;5;0;2;0;2;0;6;0;0
Leonard Kant;Porsche BBA Ludwigsburg;A;Forward;2007;4;32.5;5;8;1;0;1;2;1;7;0;0
Nikolaos Parasidis;BBA Hagen;B;Point;2006;3;22.5;5;0;1;1;0;1;1;2;0;0
Lukas Klein;Bayer Giants Leverkusen;A;Forward;2008;2;12.4;5;6;1;0;0;1;0;8;0;0
Laurens Rieping;UBC Münster;A;Combo;2007;4;24.5;5;1;1;1;0;2;0;-1;0;0
Maj Dolinsek;KICKZ IBAM;A;Forward;2006;2;22.3;5;5;1;0;0;1;3;4;0;0
Jacques Achard;Medipolis SC Jena;A;Point;2005;1;5.2;5;0;0;0;0;0;0;2;0;0
#12Düsseldorf;ART Giants Düsseldorf;B;Combo;1900;1;10.3;5;0;2;2;0;0;2;8;0;0
Julian Günther;Bamberg freakcity academy;A;Point;2008;3;29.6;5;3;7;2;0;3;5;11;0;0
Dante Aruna;USC Heidelberg;B;Forward;2006;1;4.7;5;2;0;0;0;0;2;3;0;0
#7Bonn;Team Bonn/Rhöndorf;B;Combo;1900;1;13.5;5;0;3;4;0;2;3;9;0;0
Jonatan Kunze;Niners Chemnitz Academy;A;Combo;2005;7;48.7;5;2;1;1;0;2;8;1;0;0
Pedja Labus;Bayer Giants Leverkusen;A;Combo;2005;3;23.1;4;3;1;4;0;1;1;6;0;0
Milan Scharf;RheinStars Köln;B;Wing;2008;2;20.4;4;4;4;0;1;3;4;5;0;0
Robin Jonas Epping;Phoenix Hagen;B;Forward;2006;2;10.0;4;2;1;0;0;0;2;7;0;0
Simon Rentz;Metropol Baskets Ruhr;B;Point;2007;3;31.4;4;4;4;1;0;1;5;9;0;0
Kilian Walter;Bamberg freakcity academy;A;Point;2007;4;34.5;4;3;2;0;0;5;3;-2;0;0
Leander Werner;Niners Chemnitz Academy;A;Point;2006;1;28.3;4;0;1;2;0;1;3;3;0;0
Maksim Pejkic;BBA Giants Kornwestheim;B;Forward;2005;1;17.5;4;1;2;1;0;0;0;5;0;0
Matteo Schultz;Medipolis SC Jena;A;Point;2007;1;10.5;4;0;0;0;0;1;2;-1;0;0
Thorge Hunsche;RheinStars Köln;B;Combo;2006;3;20.6;4;0;2;1;1;3;2;-1;0;0
Anton Papenbreer;Basketball Löwen Erfurt;B;Forward;2006;4;41.5;4;5;0;0;0;4;3;4;0;0
Justus Knapp;Würzburg Baskets Akademie;B;Wing;2005;5;32.2;4;3;1;1;0;1;4;3;0;0
Barnabas Bode;Eintracht Frankfurt;B;Combo;2005;5;75.7;4;10;1;2;0;4;5;8;0;0
Felix Holzer;KICKZ IBAM;A;Point;2006;3;22.2;4;2;1;1;0;2;2;4;0;0
Frederik Selzer;Bayer Giants Leverkusen;A;Forward;2006;7;50.1;4;9;0;1;1;10;8;-2;0;0
Niko Kaps;VfL Kirchheim Knights;B;Wing;2006;5;29.7;3;6;1;1;0;3;4;-1;0;0
Leander Klugmann;Orange Academy;B;Combo;2007;4;37.9;3;0;1;0;0;4;2;-2;0;0
Noah Dapaah;Tornados Franken;B;Combo;2007;5;31.1;3;3;4;1;1;2;8;2;0;0
Kilian Dück;FC Bayern München;A;Big;2008;2;14.5;3;4;0;0;0;0;2;2;0;0
Maximilian Tobias Kokott;RheinStars Köln;B;Point;2005;2;11.0;3;0;0;1;0;1;0;2;0;0
Noah Spindler;Niners Chemnitz Academy;A;Point;2007;1;12.0;3;1;0;1;0;0;0;2;0;0
Kevin Tobias;BBA Giants Kornwestheim;B;Combo;2006;5;32.5;3;3;2;3;0;3;4;5;0;0
Ikechukwu Nicodemus Onyekwere;KICKZ IBAM;A;Big;2006;1;0.2;3;5;0;0;0;2;2;0;0;0
#7Tornados;Tornados Franken;B;Wing;1900;1;16.9;3;3;2;0;0;4;2;2;0;0
Berk Haktanir;TS Jahn München;B;Point;2005;2;14.4;3;0;1;3;0;1;1;1;0;0
#1Towers;Hamburg Towers;A;Wing;1900;1;3.6;3;0;0;0;0;1;1;2;0;0
Ben Rehkopp;Metropol Baskets Ruhr;B;Wing;2006;1;5.4;3;2;1;0;0;1;2;4;0;0
Anton Beuermann;ART Giants Düsseldorf;B;Wing;2006;5;32.8;3;2;1;1;0;4;3;0;0;0
Dirk Schmidt;Basketball Löwen Erfurt;B;Combo;2006;4;29.0;3;5;0;2;0;2;2;5;0;0
Moritz Renner;KICKZ IBAM;A;Combo;2007;3;20.2;2;2;0;0;0;1;3;-1;0;0
Voloshkova Yehor;Sartorius Juniors;B;Wing;2006;1;5.0;2;3;0;0;0;0;1;4;0;0
Matteo Sattler;Bamberg freakcity academy;A;Wing;2005;1;10.9;2;0;0;0;0;0;0;1;0;0
Timon Gotsis;KICKZ IBAM;A;Point;2007;3;48.5;2;5;5;4;0;3;8;8;0;0
Yannick Starck;Dresden Titans;B;Big;2007;2;9.9;2;3;0;0;0;0;1;5;0;0
Tim Sauer;Bamberg freakcity academy;A;Forward;2005;3;27.1;2;6;0;1;0;3;8;2;0;0
Maceo Gulich;BBA Hagen;B;Combo;2005;2;15.1;2;2;1;1;0;0;1;3;0;0
Roman Geyer;Tornados Franken;B;Combo;2007;1;6.0;2;2;0;0;0;2;1;-2;0;0
Tim Heineke;USC Heidelberg;B;Combo;2006;4;27.3;2;4;2;1;0;3;2;0;0;0
Michael Zolotko;Dresden Titans;B;Wing;2007;6;29.4;2;3;0;1;2;8;5;-4;0;0
Tobias Kamp;Bayer Giants Leverkusen;A;Forward;2007;2;5.8;2;3;0;0;0;1;0;3;0;0
Selman Yoldas;TG Hanau;B;Forward;2006;2;27.2;2;6;0;0;1;1;1;5;0;0
Malik Karaboue;ART Giants Düsseldorf;B;Forward;2005;3;23.0;2;6;0;2;0;3;5;5;0;0
Thai Bui;Niners Chemnitz Academy;A;Point;2007;2;10.7;2;0;1;0;0;2;2;0;0;0
Schilo Kabongo;Bayer Giants Leverkusen;A;Combo;2006;2;19.5;2;4;0;2;0;2;4;2;0;0
Vincent Willems;Berlin Braves Baskets;B;Big;2007;1;6.5;2;3;0;0;0;0;1;2;0;0
Anton Kemmer;Alba Berlin;A;Forward;2008;1;8.3;2;2;1;1;0;0;2;4;0;0
#9Alba;Alba Berlin;A;Wing;1900;1;9.3;2;1;0;0;0;3;0;-3;0;0
Ben Hebling;KICKZ IBAM;A;Combo;2007;4;18.7;2;3;1;2;0;3;1;1;0;0
Christian Junior Kamdom Ngayoumnou;RheinStars Köln;B;Combo;2005;1;9.5;2;2;1;0;0;2;1;-2;0;0
#17Giessen;ROTH Energie BBA GIESSEN 46ers;A;Combo;1900;1;7.3;2;1;2;2;0;2;1;3;0;0
#6Bremerhaven;Eisbären Bremerhaven;A;Wing;1900;1;11.7;2;3;1;1;0;1;2;5;0;0
Christos Valentin Braun;Würzburg Baskets Akademie;B;Point;2007;9;62.3;2;6;5;4;0;11;6;0;0;0
Darren Maglocky;Eintracht Frankfurt;B;Wing;2007;5;36.0;2;8;3;2;0;5;5;4;0;0
Jeremiah Osei;Phoenix Hagen;B;Combo;2007;2;14.5;2;1;2;0;0;2;0;2;0;0
Armin Nahreyni;Bayer Giants Leverkusen;A;Combo;2006;1;11.2;2;3;0;1;0;1;1;1;0;0
Bonel Mpaka;RheinStars Köln;B;Forward;2005;2;32.0;2;9;5;2;3;0;5;20;0;0
Jarno Wallrafen;UBC Münster;A;Forward;2005;2;8.4;2;0;0;0;0;2;0;-1;0;0
Jamie Alexander Köster;BBA Hagen;B;Forward;2007;3;35.6;2;4;0;2;1;1;2;5;0;0
Malik Linne;Berlin Braves Baskets;B;Forward;2007;1;5.9;1;2;0;0;0;0;1;-2;0;0
Mattia Probst;Team Urspring;A;Combo;2005;1;7.7;1;2;1;1;0;1;1;1;0;0
Sami Lemjimer;Metropol Baskets Ruhr;B;Point;2006;1;7.4;1;0;1;0;0;0;2;1;0;0
Milan Barukcic;Tornados Franken;B;Forward;2007;2;12.3;1;3;0;0;0;2;1;-2;0;0
Lukas Probst;Medipolis SC Jena;A;Big;2006;4;21.5;1;4;0;3;2;4;7;1;0;0
Niklas Zwanziger;Bamberg freakcity academy;A;Forward;2007;4;31.0;1;5;3;0;0;0;8;4;0;0
Bela Kabalimu;RheinStars Köln;B;Forward;2005;3;24.8;1;7;5;0;2;0;2;10;0;0
Aaron Duparrè;Basketball Löwen Erfurt;B;Wing;2007;2;16.6;1;5;0;0;0;1;1;1;0;0
Deniz Tasci;ratiopharm Ulm;B;Forward;2005;4;32.5;1;10;2;1;0;5;9;5;0;0
Noah-Su Drisch;Metropol Baskets Ruhr;B;Point;2007;3;17.5;0;0;0;1;0;0;3;-1;0;0
Noah Asamoah;Alba Berlin;A;Point;2006;1;7.4;0;2;0;0;0;1;1;1;0;0
Vaclav Nosek;Team Urspring;A;Wing;2008;1;1.8;0;0;0;1;0;0;1;0;0;0
Lars Schröder;Baskets Juniors Oldenburg;A;Combo;2007;2;3.0;0;0;0;0;0;0;0;0;0;0
Namik Muratovic;FC Bayern München;A;Forward;2008;3;19.9;0;4;1;1;0;2;4;3;0;0
Seny Thiaw;Bayer Giants Leverkusen;A;Forward;2006;1;2.3;0;2;0;0;0;0;0;-1;0;0
Nikola Pecanac;FC Bayern München;A;Wing;2009;1;0.4;0;0;0;0;0;0;0;0;0;0
Sheriff-Mustapha Jameh;Eisbären Bremerhaven;A;Point;2006;2;5.2;0;0;0;0;0;2;1;-2;0;0
Niklas Schulz;Medipolis SC Jena;A;Combo;2005;7;31.8;0;5;4;1;0;1;4;3;0;0
Matthes Weitkamp;Basketball Löwen Erfurt;B;Wing;2006;1;3.4;0;0;1;0;0;0;0;1;0;0
René Uhlmann;Metropol Baskets Ruhr;B;Forward;2005;1;4.1;0;1;0;0;0;0;1;0;0;0
Mio Pablo Philipp;HAKRO Merlins Crailsheim;B;Combo;2007;6;84.1;0;4;5;2;0;7;4;-4;0;0
Maximilian Streich;ART Giants Düsseldorf;B;Combo;2006;2;2.7;0;0;0;0;0;1;0;-1;0;0
Leon Martinez;KICKZ IBAM;A;Point;2005;2;20.1;0;1;1;1;0;3;4;-1;0;0
Luca Barthel;Würzburg Baskets Akademie;B;Point;2008;1;2.3;0;0;0;0;0;0;0;0;0;0
Ole Werker;Bayer Giants Leverkusen;A;Wing;2006;3;21.8;0;4;2;0;0;0;1;4;0;0
Robin Kurr;FC Bayern München;A;Point;2007;3;36.8;0;1;1;3;0;5;2;-2;0;0
Max Kleina;Metropol Baskets Ruhr;B;Wing;2005;1;5.9;0;0;1;0;0;2;2;-2;0;0
Leon Schneider;Bamberg freakcity academy;A;Forward;2007;2;12.1;0;2;0;0;0;2;2;-3;0;0
Niklas Patrice Kaintoch;Metropol Baskets Ruhr;B;Combo;2006;1;4.8;0;1;1;0;0;2;3;-1;0;0
Enrico Wandt;Rostock Seawolves;B;Forward;2006;2;14.5;0;2;1;0;0;0;0;1;0;0
#4Bremerhaven;Eisbären Bremerhaven;A;Wing;1900;1;1.8;0;0;0;0;0;0;0;0;0;0
Elijah Kolbe;USC Heidelberg;B;Big;2005;2;14.1;0;5;0;0;1;0;1;4;0;0
Jan Pötzsch;Team Südhessen;B;Forward;2005;7;43.5;0;4;0;2;0;4;5;2;0;0
Henning Rosemeyer;Young Rasta Dragons;A;Big;2007;1;7.2;0;2;1;0;0;1;3;1;0;0
#8Köln;RheinStars Köln;B;Wing;1900;1;2.3;0;0;0;0;0;0;0;-1;0;0
Felix Egger;Bamberg freakcity academy;A;Wing;2008;2;8.7;0;1;1;0;1;1;1;2;0;0
Elias Adeola;TS Jahn München;B;Wing;2006;2;9.5;0;2;2;0;1;2;1;1;0;0
Henry Hollander;Eisbären Bremerhaven;A;Point;2005;1;2.1;0;0;0;0;0;0;0;0;0;0
Anton Haverkamp;UBC Münster;A;Big;2006;2;6.0;0;2;0;0;0;0;0;2;0;0
Eric Akem;Phoenix Hagen;B;Wing;2007;2;3.1;0;0;0;0;0;0;0;0;0;0
Julian Eugene Glenewinkel;FC Bayern München;A;Wing;2007;2;19.2;0;2;0;0;0;3;2;-6;0;0
Julius Lehmann;Niners Chemnitz Academy;A;Wing;2007;1;15.3;0;0;0;1;0;0;0;0;0;0
Henri Dinse;TG Hanau;B;Wing;2008;2;24.3;0;2;0;0;0;1;0;1;0;0
Emanuel Alexander Layes;Orange Academy;B;Wing;2007;5;46.1;0;3;1;0;0;2;6;-3;0;0
Aaron Rehberger;Young Rasta Dragons;A;Point;2007;1;7.5;0;1;0;0;0;2;1;-1;0;0
Ben Reinhardt;Medipolis SC Jena;A;Point;2007;1;8.6;0;1;1;0;0;2;0;-1;0;0
Finn Kolschmann;Dresden Titans;B;Wing;2007;2;11.2;0;0;0;0;0;0;0;-3;0;0
Jonathan Deutsch;Niners Chemnitz Academy;A;Combo;2007;1;3.6;0;0;0;0;0;0;0;0;0;0
Kalender Kalender;SG Junior Löwen Braunschweig;B;Point;2007;5;14.8;0;1;1;2;0;3;1;0;0;0
Hafiz Esad Zor;Orange Academy;B;Forward;2007;5;29.7;0;2;0;0;0;1;4;-3;0;0
Dennis Welther;BBA Giants Kornwestheim;B;Point;2007;3;32.3;0;1;4;0;0;2;2;0;0;0
David Galusic;FC Bayern München;A;Wing;2007;3;10.2;0;2;0;0;0;2;1;-4;0;0
Christopher Wahren;Niners Chemnitz Academy;A;Forward;2007;5;19.3;0;3;0;0;1;2;0;-5;0;0
Daniel Christian Selck;Hamburg Towers;A;Forward;2007;3;11.4;0;1;0;0;0;0;4;-1;0;0
#5 Bamberg;Bamberg freakcity academy;A;Combo;1900;1;22.9;0;0;3;0;0;2;2;-1;0;0
Ehiozogie Idemudia;Eintracht Frankfurt;B;Wing;2007;2;14.2;0;0;0;1;0;0;0;-3;0;0
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
