PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Liam Pauli;BBA Hagen;B;Wing;2005;6;157.7;102;25;5;5;2;16;11;43;0;0
Zoran Milicic;ratiopharm Ulm;B;Point;2006;11;232.0;102;27;25;27;1;28;25;100;0;0
Raphael Falkenthal;Medipolis SC Jena;A;Combo;2005;6;163.8;102;27;24;15;2;28;11;106;1;0
Benedict Baumgarth;Metropol Baskets Ruhr;B;Forward;2006;8;195.7;102;50;11;7;10;17;21;119;1;0
Dusan Ilic;BBA Hagen;B;Point;2008;5;167.0;102;17;26;13;0;20;10;61;0;0
Tom Brüggemann;Baskets Paderborn;A;Point;2007;10;291.9;101;31;66;17;4;54;28;107;2;0
Jenö Pildner;Team Urspring;A;Wing;2006;11;230.1;101;30;16;15;6;24;22;78;0;0
Noah Wittmann;RheinStars Köln;B;Forward;2005;9;228.6;100;37;6;8;2;12;19;96;0;0
Vincent Dahms;ART Giants Düsseldorf;B;Combo;2005;8;247.0;99;23;8;15;0;15;21;66;0;0
Maximilian zur Linde;Baskets Paderborn;A;Wing;2006;13;266.4;98;34;16;10;4;15;22;84;0;0
Luka Petronic;Metropol Baskets Ruhr;B;Point;2005;8;183.6;97;28;40;24;1;32;23;109;1;0
Jannis Grußendorf;FC Bayern München;A;Wing;2005;7;164.9;97;33;19;16;2;11;12;101;0;0
Esli Edigin;Porsche BBA Ludwigsburg;A;Forward;2005;9;212.7;97;52;23;9;8;13;22;113;1;0
Jeremy Julian Kolev;KICKZ IBAM;A;Forward;2005;14;374.6;97;62;23;16;14;28;35;106;0;0
Oumar Bamba;Team Bonn/Rhöndorf;B;Big;2006;10;163.6;96;105;2;10;9;33;40;149;3;0
Nico Hirtl;TS Jahn München;B;Point;2005;10;260.8;95;29;44;28;0;44;25;79;0;0
Maxim Klanten;Berlin Braves Baskets;B;Forward;2006;13;206.0;94;47;5;9;2;12;32;90;0;0
Pepe Lahr;Team Südhessen;B;Combo;2005;10;199.4;94;40;24;24;1;34;20;108;0;0
Emil Bode;Sartorius Juniors;B;Combo;2006;9;233.8;93;34;23;21;1;18;13;86;0;0
Jack Kayil;Young Rasta Dragons;A;Point;2006;5;116.3;93;18;18;16;2;21;15;87;0;0
Mika Kröner;Bamberg freakcity academy;A;Combo;2006;10;235.4;92;23;14;12;0;22;23;62;0;0
Noah Koch;Young Rasta Dragons;A;Wing;2007;8;190.3;92;36;7;19;1;13;9;90;0;0
Dominik Dolic;FC Bayern München;A;Point;2006;6;164.7;92;12;17;7;1;9;7;77;0;0
Felix Zacharias;Niners Chemnitz Academy;A;Combo;2005;12;261.2;91;25;17;15;1;29;25;65;0;0
Callum Macaulay;Team Urspring;A;Combo;2006;12;232.8;91;21;16;13;0;21;27;85;0;0
Matthes Tilsen;Rostock Seawolves;B;Wing;2006;10;234.5;90;44;20;16;4;34;32;93;0;0
Noah Slingerland;Baskets Juniors Oldenburg;A;Wing;2005;14;309.1;90;69;31;14;3;25;44;135;1;0
